"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.410014100E-1,1.711566560E-2,2.309832023E-3,2.667951584E-2,3.178172271E-2
1.434464620E-1,1.711566560E-2,4.772387911E-4,2.729038149E-2,3.221705585E-2
1.458922950E-1,1.650479995E-2,-1.336268615E-4,2.667951584E-2,3.137232607E-2
1.483373470E-1,1.589393616E-2,-1.355358167E-3,2.790124714E-2,3.213928740E-2
1.507816180E-1,1.528307237E-2,-3.798815189E-3,2.606865205E-2,3.045616387E-2
1.532266180E-1,1.589393616E-2,-6.242274307E-3,2.606865205E-2,3.116340506E-2
1.556724510E-1,1.467220671E-2,-5.631410517E-3,2.606865205E-2,3.043946540E-2
1.581175040E-1,1.467220671E-2,-6.853138097E-3,2.545778826E-2,3.017181027E-2
1.605617220E-1,1.406134106E-2,-8.685733192E-3,2.545778826E-2,3.035230233E-2
1.630067740E-1,1.222874783E-2,-9.296596982E-3,2.545778826E-2,2.973328054E-2
1.654526080E-1,1.345047727E-2,-9.296596982E-3,2.484692261E-2,2.974410223E-2
1.678976600E-1,9.785288945E-3,-1.051832829E-2,2.545778826E-2,2.923159408E-2
1.703419310E-1,1.039615367E-2,-1.235092152E-2,2.545778826E-2,3.014505360E-2
1.727869310E-1,9.785288945E-3,-1.296178717E-2,2.484692261E-2,2.968382336E-2
1.752327640E-1,7.952694781E-3,-1.479438040E-2,2.301432937E-2,2.849172516E-2
1.776778160E-1,1.039615367E-2,-1.601610892E-2,2.423605695E-2,3.085420899E-2
1.801220870E-1,7.341830060E-3,-1.784870401E-2,2.423605695E-2,3.098169072E-2
1.825671390E-1,1.039615367E-2,-1.784870401E-2,2.423605695E-2,3.184403716E-2
1.850129720E-1,5.509235896E-3,-1.784870401E-2,2.301432937E-2,2.964097285E-2
1.874579720E-1,7.952694781E-3,-1.479438040E-2,2.423605695E-2,2.948737870E-2
1.899022430E-1,4.898371175E-3,-1.601610892E-2,2.484692261E-2,2.996463495E-2
1.923472950E-1,5.509235896E-3,-1.479438040E-2,2.423605695E-2,2.892424292E-2
1.947931290E-1,4.898371175E-3,-1.418351475E-2,2.606865205E-2,3.007890873E-2
1.972381290E-1,4.287506454E-3,-1.418351475E-2,2.606865205E-2,2.998548686E-2
1.996823990E-1,6.120100617E-3,-1.479438040E-2,2.729038149E-2,3.164007340E-2
2.021274510E-1,1.233183080E-3,-1.540524606E-2,2.729038149E-2,3.136251375E-2
2.045732850E-1,4.898371175E-3,-1.418351475E-2,2.851211093E-2,3.221966171E-2
2.070183370E-1,6.223183591E-4,-1.479438040E-2,2.912297472E-2,3.267122019E-2
2.094625560E-1,3.676641965E-3,-1.235092152E-2,2.912297472E-2,3.184667354E-2
2.119076080E-1,1.844047802E-3,-1.357265096E-2,2.851211093E-2,3.163159554E-2
2.143534410E-1,6.223183591E-4,-9.907462634E-3,2.790124714E-2,2.961460262E-2
2.167984930E-1,1.233183080E-3,-8.074869402E-3,2.790124714E-2,2.907238980E-2
2.192427120E-1,-1.821140526E-3,-7.464003749E-3,2.790124714E-2,2.893972178E-2
2.216877640E-1,6.223183591E-4,-6.242274307E-3,2.912297472E-2,2.979095375E-2
2.241335970E-1,-1.210275805E-3,-7.464003749E-3,2.790124714E-2,2.890771025E-2
2.265786490E-1,1.233183080E-3,-5.020544864E-3,2.667951584E-2,2.717578291E-2
2.290228680E-1,-5.994110834E-4,-5.631410517E-3,2.729038149E-2,2.787179578E-2
2.314679200E-1,1.844047802E-3,-3.187951399E-3,2.790124714E-2,2.814326098E-2
2.339137540E-1,-1.821140526E-3,-5.020544864E-3,2.729038149E-2,2.780804462E-2
2.363588060E-1,1.145363785E-5,-1.355358167E-3,2.729038149E-2,2.732401963E-2
2.388030240E-1,-5.994110834E-4,-7.444925141E-4,2.606865205E-2,2.608616841E-2
2.412480760E-1,-2.432005247E-3,-1.336268615E-4,2.484692261E-2,2.496601828E-2
2.436939100E-1,-5.994110834E-4,2.920697676E-3,2.667951584E-2,2.684560176E-2
2.461389620E-1,-4.264599644E-3,3.531559603E-3,2.667951584E-2,2.724803275E-2
2.485831810E-1,-5.994110834E-4,4.753290676E-3,2.667951584E-2,2.710626554E-2
2.510282330E-1,-4.264599644E-3,3.531559603E-3,2.606865205E-2,2.665020343E-2
2.534740660E-1,-1.210275805E-3,5.364156328E-3,2.667951584E-2,2.724032867E-2
2.559191180E-1,-4.264599644E-3,3.531559603E-3,2.790124714E-2,2.844535666E-2
2.583633890E-1,-3.653734690E-3,2.920697676E-3,2.790124714E-2,2.829063174E-2
2.608083890E-1,-3.653734690E-3,-1.336268615E-4,2.851211093E-2,2.874557537E-2
2.632542220E-1,-5.486329086E-3,-1.355358167E-3,2.851211093E-2,2.906677265E-2
2.656992740E-1,-2.432005247E-3,-3.187951399E-3,2.973384038E-2,3.000298230E-2
2.681435450E-1,-6.708058529E-3,-6.853138097E-3,3.034470603E-2,3.182396479E-2
2.705885450E-1,-2.432005247E-3,-8.074869402E-3,3.156643361E-2,3.267350450E-2
2.730343790E-1,-6.097193807E-3,-1.174005587E-2,3.278816491E-2,3.535630697E-2
2.754794310E-1,-4.264599644E-3,-9.907462634E-3,3.400989249E-2,3.567936958E-2
2.779237010E-1,-6.708058529E-3,-1.357265096E-2,3.400989249E-2,3.722751255E-2
2.803687540E-1,-5.486329086E-3,-1.235092152E-2,3.462075815E-2,3.716506375E-2
2.828145870E-1,-6.097193807E-3,-1.296178717E-2,3.645335138E-2,3.916670175E-2
2.852595870E-1,-6.097193807E-3,-1.601610892E-2,3.706421703E-2,4.083439361E-2
2.877038580E-1,-4.264599644E-3,-1.479438040E-2,3.584248945E-2,3.900954437E-2
2.901489100E-1,-7.318923250E-3,-1.662697271E-2,3.584248945E-2,4.018341584E-2
2.925947430E-1,-1.821140526E-3,-1.479438040E-2,3.584248945E-2,3.881847878E-2
2.950397950E-1,-5.486329086E-3,-1.662697271E-2,3.584248945E-2,3.989035069E-2
2.974840140E-1,-3.042869968E-3,-1.540524606E-2,3.706421703E-2,4.025340790E-2
2.999290660E-1,-4.875464365E-3,-1.601610892E-2,3.645335138E-2,4.011399661E-2
3.023748990E-1,-3.653734690E-3,-1.418351475E-2,3.584248945E-2,3.871958055E-2
3.048199510E-1,-4.264599644E-3,-1.357265096E-2,3.706421703E-2,3.970087969E-2
3.072641700E-1,-4.875464365E-3,-1.296178717E-2,3.584248945E-2,3.842475933E-2
3.097092220E-1,-1.821140526E-3,-1.235092152E-2,3.523162380E-2,3.737819058E-2
3.121550560E-1,-6.708058529E-3,-1.235092152E-2,3.584248945E-2,3.849970599E-2
3.146001080E-1,-1.821140526E-3,-1.051832829E-2,3.462075815E-2,3.622911367E-2
3.170443260E-1,-6.708058529E-3,-1.235092152E-2,3.339902684E-2,3.623587043E-2
3.194893790E-1,-1.821140526E-3,-9.907462634E-3,3.462075815E-2,3.605650098E-2
3.219352120E-1,-3.042869968E-3,-1.174005587E-2,3.584248945E-2,3.783876345E-2
3.243802640E-1,-1.821140526E-3,-1.174005587E-2,3.584248945E-2,3.776015777E-2
3.268245350E-1,-1.821140526E-3,-1.235092152E-2,3.706421703E-2,3.911033111E-2
