"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
2.405931400E-1,-1.892535202E-2,7.439186424E-2,-4.474584479E-3,7.689174416E-2
2.430373590E-1,-1.892535202E-2,7.072667032E-2,-4.474584479E-3,7.335156952E-2
2.454824110E-1,-2.259054221E-2,6.583976001E-2,-5.085448269E-3,6.979303962E-2
2.479282450E-1,-1.831448637E-2,6.156371161E-2,-5.085448269E-3,6.443114761E-2
2.503732450E-1,-2.259054221E-2,5.606593192E-2,-4.474584479E-3,6.061141168E-2
2.528174630E-1,-1.953621767E-2,5.178987235E-2,-3.863718826E-3,5.548678223E-2
2.552625150E-1,-2.381226979E-2,4.384863377E-2,-3.863718826E-3,5.004653034E-2
2.577083490E-1,-2.197967656E-2,4.018344730E-2,-2.641989384E-3,4.587805278E-2
2.601533490E-1,-2.381226979E-2,3.285306692E-2,-3.863718826E-3,4.075876006E-2
2.625976200E-1,-2.259054221E-2,2.796614915E-2,-3.863718826E-3,3.615752230E-2
2.650426200E-1,-2.259054221E-2,2.185750380E-2,-3.252855036E-3,3.160164767E-2
2.674884530E-1,-2.320140414E-2,1.452712622E-2,-2.031125594E-3,2.744937197E-2
2.699334530E-1,-2.197967656E-2,1.086193975E-2,-8.093961515E-4,2.453045126E-2
2.723777240E-1,-2.442313544E-2,4.753290676E-3,-2.031125594E-3,2.496415006E-2
2.748227240E-1,-1.892535202E-2,3.531559603E-3,-1.420259941E-3,1.930435186E-2
2.772685570E-1,-2.320140414E-2,-3.187951399E-3,4.123337567E-4,2.342302729E-2
2.797136090E-1,-2.014708333E-2,-4.409679212E-3,4.123337567E-4,2.062814234E-2
2.821578280E-1,-1.953621767E-2,-9.296596982E-3,2.244927920E-3,2.175155668E-2
2.846028800E-1,-1.831448637E-2,-9.907462634E-3,2.855792642E-3,2.101746365E-2
2.870486610E-1,-1.953621767E-2,-1.296178717E-2,2.855792642E-3,2.361836741E-2
2.894937130E-1,-2.197967656E-2,-1.479438040E-2,4.077522084E-3,2.680682860E-2
2.919379320E-1,-1.892535202E-2,-1.540524606E-2,4.688386805E-3,2.484897435E-2
2.943829840E-1,-2.259054221E-2,-1.784870401E-2,5.299251527E-3,2.927440689E-2
2.968288170E-1,-1.953621767E-2,-1.784870401E-2,5.299251527E-3,2.698744342E-2
2.992738170E-1,-2.259054221E-2,-1.968129724E-2,4.688386805E-3,3.032601242E-2
3.017180360E-1,-1.831448637E-2,-1.907043159E-2,2.244927920E-3,2.653566418E-2
3.041630880E-1,-2.014708333E-2,-2.151389048E-2,2.244927920E-3,2.955997550E-2
3.066089220E-1,-1.831448637E-2,-2.029216290E-2,4.123337567E-4,2.733792796E-2
3.090539220E-1,-1.770362258E-2,-2.151389048E-2,4.123337567E-4,2.786459680E-2
3.114981920E-1,-1.892535202E-2,-2.151389048E-2,-2.031125594E-3,2.872528335E-2
3.139431920E-1,-1.770362258E-2,-1.845956780E-2,-5.085448269E-3,2.607749374E-2
3.163890260E-1,-2.136881091E-2,-1.907043159E-2,-5.696313921E-3,2.920197652E-2
3.188340260E-1,-1.526016463E-2,-1.784870401E-2,-6.307177711E-3,2.431520820E-2
3.212782970E-1,-1.953621767E-2,-1.662697271E-2,-6.918043364E-3,2.657027185E-2
3.237232970E-1,-1.587102748E-2,-1.357265096E-2,-8.139772341E-3,2.241343930E-2
3.261691300E-1,-1.892535202E-2,-1.296178717E-2,-7.528907154E-3,2.414252097E-2
3.286141820E-1,-1.587102748E-2,-8.074869402E-3,-6.918043364E-3,1.910372616E-2
3.310584010E-1,-1.464930084E-2,-5.631410517E-3,-7.528907154E-3,1.740687342E-2
3.335034010E-1,-1.587102748E-2,-7.444925141E-4,-6.918043364E-3,1.732925580E-2
3.359492340E-1,-1.220584102E-2,4.142425023E-3,-6.307177711E-3,1.435000804E-2
3.383942860E-1,-1.526016463E-2,8.418477140E-3,-6.307177711E-3,1.853439701E-2
3.408385050E-1,-9.762382135E-3,1.269453298E-2,-5.696313921E-3,1.699715461E-2
3.432835570E-1,-1.342756953E-2,1.391626056E-2,-5.085448269E-3,1.999559241E-2
3.457293380E-1,-9.151517414E-3,1.819231361E-2,-5.085448269E-3,2.098981490E-2
3.481743900E-1,-1.159497630E-2,1.880317926E-2,-5.696313921E-3,2.281339558E-2
3.506186090E-1,-1.098411158E-2,2.063577622E-2,-5.085448269E-3,2.392379049E-2
3.530636610E-1,-9.762382135E-3,2.124663815E-2,-5.085448269E-3,2.392875930E-2
3.555094950E-1,-9.151517414E-3,2.002491057E-2,-5.696313921E-3,2.274192838E-2
3.579544950E-1,-6.097193807E-3,2.124663815E-2,-5.085448269E-3,2.268164873E-2
3.603987650E-1,-9.151517414E-3,1.880317926E-2,-5.696313921E-3,2.167389706E-2
3.628437650E-1,-4.264599644E-3,1.941404492E-2,-6.307177711E-3,2.085359539E-2
3.652895990E-1,-6.708058529E-3,1.574885845E-2,-6.918043364E-3,1.846304189E-2
3.677345990E-1,-3.042869968E-3,1.513799187E-2,-6.307177711E-3,1.667927894E-2
3.701788700E-1,-6.097193807E-3,9.640208445E-3,-6.918043364E-3,1.334049156E-2
3.726238700E-1,-4.875464365E-3,9.640208445E-3,-6.307177711E-3,1.250936698E-2
3.750697030E-1,-4.264599644E-3,6.585883908E-3,-6.918043364E-3,1.046040157E-2
3.775147550E-1,-5.486329086E-3,3.531559603E-3,-7.528907154E-3,9.962738730E-3
3.799589740E-1,-2.432005247E-3,2.920697676E-3,-6.918043364E-3,7.893316693E-3
3.824040260E-1,-6.708058529E-3,-1.336268615E-4,-6.918043364E-3,9.637179533E-3
3.848498070E-1,-2.432005247E-3,-1.355358167E-3,-6.307177711E-3,6.894355370E-3
3.872948590E-1,-6.097193807E-3,-3.187951399E-3,-5.696313921E-3,8.932345646E-3
3.897390780E-1,-1.821140526E-3,-2.577085746E-3,-5.085448269E-3,5.984956796E-3
3.921841300E-1,-4.875464365E-3,-3.187951399E-3,-4.474584479E-3,7.345413069E-3
3.946299110E-1,-3.653734690E-3,-1.355358167E-3,-4.474584479E-3,5.933690184E-3
3.970749630E-1,-4.264599644E-3,-1.336268615E-4,-2.641989384E-3,5.018443400E-3
3.995191820E-1,-4.875464365E-3,1.698966371E-3,-3.252855036E-3,6.102270511E-3
4.019642340E-1,-3.042869968E-3,2.309832023E-3,-1.420259941E-3,4.075723239E-3
4.044100670E-1,-7.318923250E-3,4.142425023E-3,-1.985309646E-4,8.412237345E-3
4.068550670E-1,-3.042869968E-3,9.640208445E-3,2.244927920E-3,1.035530675E-2
4.092992860E-1,-9.762382135E-3,9.640208445E-3,1.634063199E-3,1.381694200E-2
4.117443380E-1,-5.486329086E-3,1.574885845E-2,4.077522084E-3,1.716835856E-2
4.141901720E-1,-7.929787971E-3,1.635972038E-2,3.466657363E-3,1.850782811E-2
4.166351720E-1,-6.708058529E-3,2.307923138E-2,4.688386805E-3,2.448734247E-2
4.190794420E-1,-6.708058529E-3,2.369009703E-2,5.299251527E-3,2.518532933E-2
4.215244420E-1,-8.540652692E-3,2.552269399E-2,6.520980969E-3,2.769248724E-2
4.239702760E-1,-6.708058529E-3,2.674442157E-2,6.520980969E-3,2.833346656E-2
4.264153280E-1,-9.762382135E-3,2.735528722E-2,7.131845690E-3,2.990784290E-2
4.288595470E-1,-6.708058529E-3,3.102047741E-2,7.131845690E-3,3.252893007E-2
4.313045470E-1,-9.762382135E-3,2.918788046E-2,8.353575133E-3,3.189073044E-2
4.337503800E-1,-4.875464365E-3,2.979874611E-2,1.018616930E-2,3.186680824E-2
4.361954320E-1,-7.929787971E-3,2.552269399E-2,1.140789874E-2,2.905907086E-2
4.386396510E-1,-6.097193807E-3,2.979874611E-2,1.262962818E-2,3.293400295E-2
4.410847030E-1,-6.708058529E-3,3.285306692E-2,1.324049290E-2,3.605041897E-2
4.435304840E-1,-5.486329086E-3,3.346393257E-2,1.507308707E-2,3.710973651E-2
4.459755360E-1,-3.042869968E-3,3.712911904E-2,1.690568030E-2,4.091005457E-2
4.484197550E-1,-6.708058529E-3,4.018344730E-2,1.751654595E-2,4.434565219E-2
4.508648070E-1,-1.821140526E-3,4.323776811E-2,1.873827539E-2,4.715871191E-2
4.533106400E-1,-4.875464365E-3,4.384863377E-2,1.873827539E-2,4.793324317E-2
4.557556400E-1,-1.210275805E-3,4.629209638E-2,1.873827539E-2,4.995543934E-2
4.581998590E-1,-2.432005247E-3,4.445949942E-2,1.873827539E-2,4.830822604E-2
4.606449110E-1,1.145363785E-5,4.690295458E-2,1.873827539E-2,5.050752661E-2
4.630907450E-1,1.145363785E-5,4.445949942E-2,2.057087049E-2,4.898783453E-2
4.655357450E-1,-5.994110834E-4,4.262690246E-2,2.057087049E-2,4.733468939E-2
4.679800150E-1,3.065777244E-3,4.079431295E-2,1.996000484E-2,4.551897135E-2
4.704250150E-1,1.233183080E-3,3.835085034E-2,1.873827539E-2,4.270165603E-2
4.728708490E-1,6.120100617E-3,3.590739518E-2,1.934913918E-2,4.124543426E-2
4.753158490E-1,2.454912523E-3,3.040961176E-2,1.873827539E-2,3.580354798E-2
4.777601200E-1,7.341830060E-3,2.979874611E-2,1.934913918E-2,3.628025531E-2
4.802051200E-1,6.120100617E-3,2.491182834E-2,1.751654595E-2,3.106258529E-2
4.826509530E-1,8.563559502E-3,2.246836945E-2,1.690568030E-2,2.939326800E-2
4.850960050E-1,9.785288945E-3,1.880317926E-2,1.751654595E-2,2.749801470E-2
4.875402240E-1,1.039615367E-2,1.697058603E-2,1.812741160E-2,2.691995269E-2
4.899852240E-1,1.283961255E-2,1.269453298E-2,1.751654595E-2,2.515623581E-2
4.924310570E-1,9.785288945E-3,1.147280168E-2,1.629481651E-2,2.220130859E-2
4.948761090E-1,1.589393616E-2,9.029342793E-3,1.751654595E-2,2.531749632E-2
4.973203280E-1,1.283961255E-2,5.975021981E-3,1.629481651E-2,2.158883006E-2
4.997653800E-1,1.772653125E-2,5.975021981E-3,1.751654595E-2,2.562733267E-2
5.022111610E-1,1.650479995E-2,2.309832023E-3,1.629481651E-2,2.330804132E-2
5.046562130E-1,2.016999014E-2,4.772387911E-4,1.812741160E-2,2.712304021E-2
5.071004320E-1,1.894825883E-2,-2.577085746E-3,1.690568030E-2,2.552410449E-2
5.095454840E-1,1.894825883E-2,-4.409679212E-3,1.629481651E-2,2.537721081E-2
5.119913170E-1,2.322431467E-2,-6.242274307E-3,1.873827539E-2,3.048700945E-2
5.144363170E-1,2.078085579E-2,-9.296596982E-3,1.751654595E-2,2.872455509E-2
5.168805880E-1,2.566777356E-2,-8.074869402E-3,1.934913918E-2,3.314253012E-2
5.193255880E-1,2.261344902E-2,-1.174005587E-2,1.751654595E-2,3.091967611E-2
5.217714220E-1,2.750036679E-2,-1.051832829E-2,1.873827539E-2,3.490026316E-2
5.242164740E-1,2.383517660E-2,-1.418351475E-2,1.934913918E-2,3.381829271E-2
5.266606920E-1,2.627863549E-2,-1.662697271E-2,2.057087049E-2,3.728516618E-2
5.291056920E-1,2.505690791E-2,-2.029216290E-2,2.057087049E-2,3.824632298E-2
5.315515260E-1,2.688950114E-2,-2.456821501E-2,1.996000484E-2,4.153365206E-2
