"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.352756500E-2,1.734069467E0,-6.618797302E0,7.258262157E0,9.974860610E0
1.593053400E-2,1.734069467E0,-6.618797302E0,7.258262157E0,9.974860610E0
1.835845100E-2,1.743645787E0,-6.609220982E0,7.260656357E0,9.971922249E0
2.081131500E-2,1.743645787E0,-6.609220982E0,7.260656357E0,9.971922249E0
2.326449200E-2,1.712522507E0,-6.609220982E0,7.260656357E0,9.966527281E0
2.568704400E-2,1.712522507E0,-6.609220982E0,7.260656357E0,9.966527281E0
2.808647200E-2,1.698157907E0,-6.616403103E0,7.263050556E0,9.970578402E0
3.049287800E-2,1.681399345E0,-6.604433060E0,7.265444279E0,9.961542068E0
3.289886700E-2,1.674216866E0,-6.609220982E0,7.255867958E0,9.956526700E0
3.530522200E-2,1.633517265E0,-6.625979900E0,7.219956398E0,9.934775221E0
3.771136700E-2,1.659852386E0,-6.585279942E0,7.215168476E0,9.908565890E0
4.011782600E-2,1.659852386E0,-6.587673664E0,7.222351074E0,9.915387501E0
4.252418000E-2,1.619152665E0,-6.585279942E0,7.203197956E0,9.893110131E0
4.493032600E-2,1.590423584E0,-6.602038860E0,7.198410034E0,9.896134160E0
4.733735700E-2,1.580847144E0,-6.594856262E0,7.184044838E0,9.879357623E0
4.974397200E-2,1.588029385E0,-6.578097820E0,7.167286396E0,9.857139673E0
5.214996100E-2,1.583241105E0,-6.580492020E0,7.167286396E0,9.857967432E0
5.455641900E-2,1.566482544E0,-6.578097820E0,7.184044838E0,9.865887630E0
5.696324200E-2,1.583241105E0,-6.566127300E0,7.162498474E0,9.844900432E0
5.937043000E-2,1.583241105E0,-6.570915222E0,7.157710075E0,9.844612373E0
6.177714900E-2,1.573664784E0,-6.563732624E0,7.186439514E0,9.859204821E0
6.418360700E-2,1.566482544E0,-6.558944702E0,7.193621159E0,9.860111994E0
