"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
9.426239700E-2,6.223183591E-4,2.063577622E-2,1.385135762E-2,2.486126804E-2
9.675896000E-2,1.233183080E-3,2.002491057E-2,1.568395272E-2,2.546574477E-2
9.925541800E-2,1.233183080E-3,2.063577622E-2,1.690568030E-2,2.670501876E-2
1.017517200E-1,-5.994110834E-4,2.185750380E-2,1.690568030E-2,2.763895426E-2
1.042479180E-1,1.145363785E-5,2.124663815E-2,1.690568030E-2,2.715182849E-2
1.067440640E-1,-1.210275805E-3,2.063577622E-2,1.629481651E-2,2.632149450E-2
1.092401050E-1,-5.994110834E-4,2.063577622E-2,1.629481651E-2,2.630048667E-2
1.117360430E-1,-1.821140526E-3,1.941404492E-2,1.690568030E-2,2.580743535E-2
1.142319280E-1,-2.432005247E-3,1.697058603E-2,1.629481651E-2,2.365240970E-2
1.167277620E-1,3.065777244E-3,1.513799187E-2,1.751654595E-2,2.335352586E-2
1.192235430E-1,-1.821140526E-3,1.269453298E-2,1.690568030E-2,2.121956048E-2
1.217192200E-1,2.454912523E-3,1.147280168E-2,1.751654595E-2,2.108272174E-2
1.242148450E-1,-1.210275805E-3,5.975021981E-3,1.873827539E-2,1.970504047E-2
1.267104700E-1,2.454912523E-3,5.364156328E-3,1.873827539E-2,1.964494167E-2
1.292060430E-1,1.844047802E-3,5.364156328E-3,1.873827539E-2,1.957798892E-2
1.316855220E-1,2.454912523E-3,5.364156328E-3,1.996000484E-2,2.081351872E-2
1.341305740E-1,3.676641965E-3,3.531559603E-3,1.996000484E-2,2.060076218E-2
1.365763550E-1,2.454912523E-3,4.142425023E-3,1.934913918E-2,1.993929456E-2
1.390214080E-1,6.120100617E-3,5.364156328E-3,2.057087049E-2,2.212217253E-2
1.414656260E-1,6.223183591E-4,4.753290676E-3,2.057087049E-2,2.112206820E-2
1.439106260E-1,6.120100617E-3,6.585883908E-3,2.179259807E-2,2.357428321E-2
1.463564600E-1,1.233183080E-3,4.142425023E-3,2.057087049E-2,2.102001756E-2
1.488014600E-1,5.509235896E-3,7.196749561E-3,1.996000484E-2,2.192137490E-2
1.512457300E-1,3.065777244E-3,7.196749561E-3,1.873827539E-2,2.030554503E-2
1.536907300E-1,6.120100617E-3,7.196749561E-3,1.934913918E-2,2.153225541E-2
1.561365640E-1,7.952694781E-3,8.418477140E-3,1.934913918E-2,2.255006206E-2
1.585815640E-1,6.120100617E-3,9.640208445E-3,1.812741160E-2,2.142410563E-2
1.610257830E-1,9.174424224E-3,1.147280168E-2,1.751654595E-2,2.286098467E-2
1.634708350E-1,6.120100617E-3,1.025107410E-2,1.629481651E-2,2.020052467E-2
1.659166680E-1,1.100701839E-2,1.269453298E-2,1.751654595E-2,2.427210340E-2
1.683616680E-1,8.563559502E-3,1.208366733E-2,1.507308707E-2,2.113167105E-2
1.708058870E-1,1.345047727E-2,1.269453298E-2,1.446222235E-2,2.347812560E-2
1.732509390E-1,1.100701839E-2,1.330539491E-2,1.324049290E-2,2.176002389E-2
1.756967200E-1,1.161788311E-2,1.330539491E-2,1.385135762E-2,2.244702318E-2
1.781417720E-1,1.283961255E-2,1.147280168E-2,1.324049290E-2,2.172076152E-2
1.805859910E-1,1.039615367E-2,1.025107410E-2,1.324049290E-2,1.970977381E-2
1.830309910E-1,1.283961255E-2,1.025107410E-2,1.324049290E-2,2.110096735E-2
1.854768240E-1,9.174424224E-3,6.585883908E-3,1.446222235E-2,1.834938151E-2
1.879218240E-1,1.406134106E-2,6.585883908E-3,1.385135762E-2,2.080757764E-2
1.903660950E-1,1.100701839E-2,2.309832023E-3,1.446222235E-2,1.832063462E-2
1.928110950E-1,1.467220671E-2,2.309832023E-3,1.446222235E-2,2.073077058E-2
1.952569280E-1,1.283961255E-2,-1.336268615E-4,1.446222235E-2,1.933983924E-2
1.977019280E-1,1.467220671E-2,-1.336268615E-4,1.629481651E-2,2.192743832E-2
2.001461470E-1,1.467220671E-2,-1.966220094E-3,1.568395272E-2,2.156678104E-2
2.025911990E-1,1.283961255E-2,-3.187951399E-3,1.629481651E-2,2.098903832E-2
2.050369800E-1,1.589393616E-2,-2.577085746E-3,1.751654595E-2,2.379260304E-2
2.074820330E-1,1.100701839E-2,-4.409679212E-3,1.690568030E-2,2.064949759E-2
2.099262510E-1,1.711566560E-2,-3.187951399E-3,1.751654595E-2,2.469693149E-2
2.123712510E-1,1.467220671E-2,-5.631410517E-3,1.812741160E-2,2.399144610E-2
2.148170850E-1,1.711566560E-2,-1.966220094E-3,1.873827539E-2,2.545456727E-2
2.172621370E-1,1.467220671E-2,-3.798815189E-3,1.812741160E-2,2.362853568E-2
2.197063550E-1,1.650479995E-2,-3.798815189E-3,1.873827539E-2,2.525791723E-2
2.221513550E-1,1.528307237E-2,-5.631410517E-3,1.934913918E-2,2.529178271E-2
2.245971890E-1,1.283961255E-2,-6.853138097E-3,1.934913918E-2,2.421178100E-2
2.270421890E-1,1.467220671E-2,-6.853138097E-3,2.057087049E-2,2.618014256E-2
2.294864080E-1,1.283961255E-2,-8.074869402E-3,1.873827539E-2,2.410771932E-2
2.319314600E-1,1.589393616E-2,-5.631410517E-3,2.057087049E-2,2.659869741E-2
2.343772930E-1,9.785288945E-3,-9.296596982E-3,2.057087049E-2,2.460364420E-2
2.368222930E-1,1.283961255E-2,-9.296596982E-3,2.057087049E-2,2.597004194E-2
2.392665120E-1,8.563559502E-3,-1.235092152E-2,2.118173428E-2,2.597201726E-2
2.417115640E-1,8.563559502E-3,-9.296596982E-3,2.179259807E-2,2.519282829E-2
2.441573450E-1,8.563559502E-3,-1.296178717E-2,2.179259807E-2,2.676303063E-2
2.466023970E-1,7.341830060E-3,-1.296178717E-2,2.179259807E-2,2.639749469E-2
2.490466160E-1,7.952694781E-3,-1.174005587E-2,2.118173428E-2,2.549000065E-2
2.514916680E-1,5.509235896E-3,-1.540524606E-2,1.996000484E-2,2.580843039E-2
