"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.870119990E-1,5.250495672E-1,-7.882881165E0,6.197676182E0,1.004124905E1
1.894174670E-1,5.489904881E-1,-7.897245884E0,6.298228264E0,1.011610411E1
1.918230400E-1,5.801137686E-1,-7.863729000E0,5.884049416E0,9.838536644E0
1.942283530E-1,5.609610081E-1,-7.870910645E0,6.379627705E0,1.014719475E1
1.966334570E-1,5.777196884E-1,-7.858940125E0,5.905596256E0,9.847475162E0
1.990391860E-1,5.681433678E-1,-7.856546402E0,6.147400379E0,9.991928726E0
2.014446550E-1,5.489904881E-1,-7.832605362E0,6.224011421E0,1.001945186E1
2.038499150E-1,5.585669279E-1,-7.837393284E0,5.891232014E0,9.820557272E0
2.062555920E-1,5.226554871E-1,-7.806270123E0,6.396386147E0,1.010568047E1
2.086612170E-1,5.322318077E-1,-7.796693802E0,5.910384178E0,9.798180753E0
2.110670510E-1,5.226554871E-1,-7.806270123E0,6.221617222E0,9.995976332E0
2.134726240E-1,5.130790472E-1,-7.794299603E0,6.214435101E0,9.981661185E0
2.158778840E-1,5.250495672E-1,-7.799088001E0,5.967843056E0,9.834459896E0
2.182837170E-1,5.154731274E-1,-7.777541161E0,6.456238747E0,1.012120931E1
2.206891860E-1,5.585669279E-1,-7.734447479E0,5.927143574E0,9.760364018E0
2.230945510E-1,5.346258879E-1,-7.784723282E0,6.307805061E0,1.003375035E1
2.255002280E-1,5.753256083E-1,-7.760782242E0,6.185705662E0,9.941010768E0
2.279057490E-1,5.657491684E-1,-7.779935360E0,6.008542538E0,9.846321636E0
2.303116860E-1,5.394141674E-1,-7.799088001E0,6.425116062E0,1.011923207E1
2.327172070E-1,5.489904881E-1,-7.770359039E0,5.888837814E0,9.765156474E0
2.351223630E-1,5.322318077E-1,-7.796693802E0,6.317381382E0,1.004893091E1
2.375282490E-1,5.513846874E-1,-7.806270123E0,6.101912498E0,9.923467864E0
2.399336130E-1,5.035026073E-1,-7.818240643E0,5.998966217E0,9.867421005E0
2.423388740E-1,5.322318077E-1,-7.825422764E0,6.346110344E0,1.008928286E1
2.447446550E-1,5.250495672E-1,-7.827817440E0,5.840955734E0,9.780959401E0
2.471502280E-1,5.322318077E-1,-7.851758480E0,6.310198784E0,1.008721917E1
2.495563740E-1,5.465964079E-1,-7.820634842E0,6.034877777E0,9.893474958E0
2.519621550E-1,5.465964079E-1,-7.832605362E0,6.039665699E0,9.905858678E0
2.543674150E-1,5.537787676E-1,-7.832605362E0,6.326957703E0,1.008398589E1
2.567734570E-1,5.849020481E-1,-7.825422764E0,5.840955734E0,9.782439150E0
2.591791340E-1,5.609610081E-1,-7.837393284E0,6.413145542E0,1.014237874E1
2.615841340E-1,5.872961283E-1,-7.825422764E0,6.046848297E0,9.906893181E0
2.639896030E-1,6.016607285E-1,-7.832605362E0,6.137824059E0,9.969181840E0
2.663952800E-1,6.279958487E-1,-7.808664322E0,6.360475063E0,1.009085033E1
2.688013220E-1,6.279958487E-1,-7.815846920E0,5.891232014E0,9.807571387E0
2.712069470E-1,5.896902084E-1,-7.827817440E0,6.432297707E0,1.014873954E1
2.736120510E-1,6.112370491E-1,-7.799088001E0,5.955872536E0,9.832181957E0
2.760177280E-1,5.849020481E-1,-7.823029041E0,6.149794579E0,9.968042293E0
2.784230920E-1,5.992666483E-1,-7.811058521E0,6.262316704E0,1.002937517E1
2.808282490E-1,5.585669279E-1,-7.806270123E0,5.843349934E0,9.767015342E0
2.832340820E-1,5.202612877E-1,-7.813452244E0,6.391598225E0,1.010807774E1
2.856399670E-1,5.681433678E-1,-7.818240643E0,5.896019936E0,9.808706577E0
2.880463740E-1,5.274436474E-1,-7.789511681E0,6.166553020E0,9.948922815E0
2.904524670E-1,5.346258879E-1,-7.794299603E0,6.171341419E0,9.956022602E0
2.928578320E-1,5.537787676E-1,-7.767964840E0,5.812226295E0,9.717506017E0
2.952636650E-1,5.298377275E-1,-7.789511681E0,6.331746101E0,1.005227481E1
2.976691340E-1,5.418082476E-1,-7.755994320E0,5.769133091E0,9.681523676E0
3.000745510E-1,5.322318077E-1,-7.777541161E0,6.137824059E0,9.922010954E0
3.024803320E-1,5.489904881E-1,-7.755994320E0,6.037271976E0,9.844058684E0
3.048859570E-1,5.489904881E-1,-7.739235401E0,5.788285255E0,9.679948417E0
3.072918950E-1,5.346258879E-1,-7.758388519E0,6.238375664E0,9.969741630E0
3.096972070E-1,5.537787676E-1,-7.727264881E0,5.706886292E0,9.622153845E0
3.121022590E-1,5.322318077E-1,-7.748811722E0,6.130641460E0,9.895055256E0
3.145081450E-1,5.561728477E-1,-7.729659557E0,5.970236778E0,9.782673065E0
3.169132490E-1,5.442023277E-1,-7.708112240E0,5.819408894E0,9.673503520E0
3.193182490E-1,5.465964079E-1,-7.734447479E0,6.238375664E0,9.951772524E0
3.217237700E-1,5.777196884E-1,-7.724870682E0,5.706886292E0,9.621639062E0
3.241290300E-1,5.968724489E-1,-7.732053280E0,6.188099861E0,9.921365054E0
3.265347590E-1,6.136312485E-1,-7.710506439E0,5.948689938E0,9.757836073E0
3.289400200E-1,5.825079679E-1,-7.712900162E0,5.919960976E0,9.740332766E0
3.313446550E-1,6.088429689E-1,-7.734447479E0,6.262316704E0,9.970405111E0
3.337500720E-1,6.136312485E-1,-7.727264881E0,5.728432655E0,9.638573885E0
3.361554880E-1,5.920842886E-1,-7.767964840E0,6.264711380E0,9.996922038E0
3.385605920E-1,6.423603296E-1,-7.741629601E0,5.931931496E0,9.774112079E0
3.409659570E-1,6.256016493E-1,-7.760782242E0,5.960660458E0,9.805640801E0
3.433713220E-1,6.232075691E-1,-7.748811722E0,6.247952461E0,9.973433748E0
3.457771030E-1,6.519367695E-1,-7.748811722E0,5.747585773E0,9.669738718E0
3.481827800E-1,6.016607285E-1,-7.777541161E0,6.276681900E0,1.001243616E1
3.505880400E-1,6.303899288E-1,-7.751205921E0,5.893625736E0,9.757735855E0
3.529940820E-1,6.327840090E-1,-7.779935360E0,5.984601498E0,9.835815416E0
3.553997590E-1,6.256016493E-1,-7.779935360E0,6.183311939E0,9.957515662E0
3.578050720E-1,6.303899288E-1,-7.772752762E0,5.745192051E0,9.686088409E0
3.602109050E-1,5.944783688E-1,-7.813452244E0,6.305410862E0,1.005791463E1
3.626169990E-1,6.160253286E-1,-7.789511681E0,5.843349934E0,9.757085522E0
3.650236130E-1,5.801137686E-1,-7.787117481E0,6.056424141E0,9.882105243E0
3.674296030E-1,5.872961283E-1,-7.799088001E0,6.190494061E0,9.974613131E0
3.698348630E-1,5.849020481E-1,-7.791905880E0,5.819408894E0,9.742762828E0
3.722408530E-1,5.609610081E-1,-7.789511681E0,6.360475063E0,1.007208084E1
3.746465300E-1,5.729315281E-1,-7.796693802E0,5.867290974E0,9.774547977E0
3.770515820E-1,5.442023277E-1,-7.789511681E0,6.168947220E0,9.951309371E0
3.794568950E-1,5.992666483E-1,-7.784723282E0,6.185705662E0,9.961124014E0
3.818625200E-1,5.729315281E-1,-7.787117481E0,5.879261494E0,9.774106860E0
3.842684050E-1,5.681433678E-1,-7.779935360E0,6.372445583E0,1.007264830E1
3.866737170E-1,5.777196884E-1,-7.760782242E0,5.850532055E0,9.736129948E0
3.890785610E-1,5.561728477E-1,-7.758388519E0,6.255135059E0,9.981414492E0
3.914841340E-1,5.801137686E-1,-7.748811722E0,6.154582500E0,9.912593043E0
3.938892380E-1,6.016607285E-1,-7.746417999E0,5.927143574E0,9.772411084E0
3.962939260E-1,5.944783688E-1,-7.727264881E0,6.425116062E0,1.006708217E1
3.986990820E-1,6.208134890E-1,-7.705718517E0,5.886443615E0,9.716672563E0
4.011041860E-1,5.872961283E-1,-7.729659557E0,6.322169304E0,1.000311843E1
4.035097070E-1,6.136312485E-1,-7.710506439E0,6.166553020E0,9.892159977E0
4.059150200E-1,5.968724489E-1,-7.729659557E0,5.984601498E0,9.793842386E0
