"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.180501080E-1,2.261344902E-2,-2.151389048E-2,4.077522084E-3,3.147763883E-2
1.204959420E-1,2.261344902E-2,-2.151389048E-2,3.466657363E-3,3.140435118E-2
1.229409420E-1,2.261344902E-2,-2.151389048E-2,1.634063199E-3,3.125517113E-2
1.253851600E-1,2.383517660E-2,-1.907043159E-2,2.244927920E-3,3.060778832E-2
1.278302120E-1,2.078085579E-2,-2.090302669E-2,4.123337567E-4,2.947796654E-2
1.302760460E-1,2.200258337E-2,-1.784870401E-2,4.123337567E-4,2.833478302E-2
1.327210460E-1,1.894825883E-2,-1.845956780E-2,1.023198478E-3,2.647336570E-2
1.351653170E-1,1.955912448E-2,-1.540524606E-2,-8.093961515E-4,2.491056159E-2
1.376103170E-1,1.711566560E-2,-1.357265096E-2,-1.420259941E-3,2.189018048E-2
1.400561500E-1,1.467220671E-2,-9.907462634E-3,-1.420259941E-3,1.776087284E-2
1.425012020E-1,1.711566560E-2,-6.853138097E-3,-1.420259941E-3,1.849131280E-2
1.449454210E-1,1.345047727E-2,-4.409679212E-3,-1.420259941E-3,1.422595332E-2
1.473904210E-1,1.650479995E-2,-1.336268615E-4,-2.641989384E-3,1.671545349E-2
1.498362540E-1,1.222874783E-2,1.698966371E-3,-3.252855036E-3,1.276753015E-2
1.522813060E-1,1.345047727E-2,5.975021981E-3,-2.031125594E-3,1.485737856E-2
1.547255250E-1,9.174424224E-3,9.640208445E-3,-3.252855036E-3,1.369980820E-2
1.571705770E-1,8.563559502E-3,1.208366733E-2,-2.641989384E-3,1.504425722E-2
1.596164100E-1,7.952694781E-3,1.391626056E-2,-8.093961515E-4,1.604876271E-2
1.620614100E-1,6.730965339E-3,1.697058603E-2,1.023198478E-3,1.828533893E-2
1.645056290E-1,7.952694781E-3,1.758145168E-2,4.123337567E-4,1.930085016E-2
1.669506810E-1,5.509235896E-3,1.880317926E-2,2.244927920E-3,1.972183896E-2
1.693965140E-1,7.952694781E-3,1.880317926E-2,2.855792642E-3,2.061456903E-2
1.718415140E-1,4.898371175E-3,1.635972038E-2,3.466657363E-3,1.742561919E-2
1.742857850E-1,7.952694781E-3,1.819231361E-2,5.910116248E-3,2.071557633E-2
1.767307850E-1,4.898371175E-3,1.513799187E-2,6.520980969E-3,1.719523279E-2
1.791766190E-1,8.563559502E-3,1.391626056E-2,7.131845690E-3,1.782863097E-2
1.816216710E-1,9.174424224E-3,1.147280168E-2,7.131845690E-3,1.632968037E-2
1.840658890E-1,5.509235896E-3,1.208366733E-2,6.520980969E-3,1.479492782E-2
1.865109420E-1,6.120100617E-3,1.086193975E-2,7.742710412E-3,1.467606661E-2
1.889567230E-1,5.509235896E-3,1.086193975E-2,7.742710412E-3,1.443201233E-2
