"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.065145920E-1,3.666333854E-2,-5.816577375E-2,2.851211093E-2,7.443385049E-2
1.089604260E-1,3.666333854E-2,-5.938750505E-2,2.729038149E-2,7.493891560E-2
1.114054780E-1,3.544161096E-2,-6.060923263E-2,2.729038149E-2,7.532829342E-2
1.138496960E-1,3.544161096E-2,-6.060923263E-2,2.545778826E-2,7.468390624E-2
1.162947480E-1,3.360901400E-2,-5.816577375E-2,2.484692261E-2,7.162536297E-2
1.187405820E-1,3.238728642E-2,-5.755491182E-2,2.423605695E-2,7.034835217E-2
1.211856340E-1,3.238728642E-2,-5.633318052E-2,2.423605695E-2,6.935236121E-2
1.236299050E-1,3.055469133E-2,-5.266799405E-2,2.179259807E-2,6.467166374E-2
1.260749570E-1,2.994382568E-2,-5.144626275E-2,1.934913918E-2,6.259185118E-2
1.285207900E-1,2.750036679E-2,-4.961366951E-2,1.690568030E-2,5.919111760E-2
1.309658420E-1,2.505690791E-2,-4.533761367E-2,1.446222235E-2,5.378200185E-2
1.334100610E-1,2.383517660E-2,-3.983983397E-2,1.262962818E-2,4.811273764E-2
1.358551130E-1,2.322431467E-2,-3.861810267E-2,1.140789874E-2,4.648512450E-2
1.383009460E-1,2.078085579E-2,-3.434205055E-2,8.964439854E-3,4.112884128E-2
1.407459980E-1,1.955912448E-2,-2.884426713E-2,6.520980969E-3,3.545524347E-2
1.431902690E-1,1.833739504E-2,-2.640080824E-2,5.299251527E-3,3.257828724E-2
1.456353210E-1,1.650479995E-2,-2.273562178E-2,3.466657363E-3,2.830785460E-2
1.480811550E-1,1.467220671E-2,-1.845956780E-2,3.466657363E-3,2.383373673E-2
1.505262070E-1,1.283961255E-2,-1.479438040E-2,3.466657363E-3,1.989339225E-2
1.529704260E-1,1.100701839E-2,-1.112919208E-2,1.634063199E-3,1.573796469E-2
1.554154780E-1,1.039615367E-2,-7.464003749E-3,2.244927920E-3,1.299350085E-2
1.578613110E-1,9.174424224E-3,-3.187951399E-3,2.855792642E-3,1.012366759E-2
1.603063630E-1,9.174424224E-3,4.772387911E-4,2.244927920E-3,9.457141115E-3
1.627506340E-1,8.563559502E-3,3.531559603E-3,2.244927920E-3,9.531325509E-3
1.651956860E-1,6.730965339E-3,5.975021981E-3,3.466657363E-3,9.644920701E-3
1.676415190E-1,4.898371175E-3,6.585883908E-3,4.077522084E-3,9.164829151E-3
1.700865710E-1,4.898371175E-3,7.196749561E-3,4.688386805E-3,9.887781108E-3
1.725308420E-1,3.676641965E-3,7.807615213E-3,4.077522084E-3,9.544775419E-3
1.749758420E-1,3.065777244E-3,7.807615213E-3,4.077522084E-3,9.326523027E-3
1.774217280E-1,3.065777244E-3,9.029342793E-3,5.299251527E-3,1.090917449E-2
1.798667280E-1,2.454912523E-3,8.418477140E-3,4.688386805E-3,9.943758027E-3
1.823109980E-1,2.454912523E-3,8.418477140E-3,2.855792642E-3,9.222413159E-3
1.847560510E-1,1.844047802E-3,8.418477140E-3,4.077522084E-3,9.534015733E-3
1.872018840E-1,6.223183591E-4,8.418477140E-3,2.244927920E-3,8.734857690E-3
1.896469360E-1,1.233183080E-3,9.640208445E-3,2.244927920E-3,9.974670959E-3
1.920912070E-1,6.223183591E-4,9.640208445E-3,1.634063199E-3,9.797502822E-3
