"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.031925050E-1,-1.342756953E-2,-2.762253955E-2,-2.768744342E-2,4.135092306E-2
1.056375570E-1,-1.220584102E-2,-2.701167390E-2,-2.707657777E-2,4.014665796E-2
1.080834430E-1,-1.159497630E-2,-2.517908067E-2,-2.646571212E-2,3.832575500E-2
1.105284430E-1,-1.281670574E-2,-2.395734936E-2,-2.707657777E-2,3.835835760E-2
1.129727130E-1,-1.220584102E-2,-2.212475613E-2,-2.646571212E-2,3.659127364E-2
1.154177650E-1,-1.403843518E-2,-2.090302669E-2,-2.585484646E-2,3.608998854E-2
1.178635990E-1,-1.526016463E-2,-2.151389048E-2,-2.524398454E-2,3.650998306E-2
1.203086510E-1,-1.342756953E-2,-2.029216290E-2,-2.218966186E-2,3.293102780E-2
1.227529220E-1,-1.648189314E-2,-2.029216290E-2,-2.218966186E-2,3.429002435E-2
1.251979740E-1,-1.587102748E-2,-1.845956780E-2,-2.096793056E-2,3.212941438E-2
1.276438070E-1,-1.648189314E-2,-2.151389048E-2,-1.852447167E-2,3.282767636E-2
1.300888590E-1,-1.648189314E-2,-1.968129724E-2,-1.669187844E-2,3.062066407E-2
1.325331300E-1,-1.709275879E-2,-2.090302669E-2,-1.669187844E-2,3.174457014E-2
1.349781820E-1,-1.892535202E-2,-1.968129724E-2,-1.424841955E-2,3.079837447E-2
1.374240150E-1,-1.587102748E-2,-2.090302669E-2,-1.180496067E-2,2.877817114E-2
1.398690680E-1,-1.953621767E-2,-2.212475613E-2,-1.180496067E-2,3.178876737E-2
1.423133380E-1,-1.770362258E-2,-1.907043159E-2,-8.750636131E-3,2.745310995E-2
1.447583900E-1,-2.075794525E-2,-2.212475613E-2,-8.139772341E-3,3.141103339E-2
1.472042240E-1,-1.953621767E-2,-2.273562178E-2,-7.528907154E-3,3.090722798E-2
1.496492760E-1,-2.381226979E-2,-2.334648557E-2,-5.085448269E-3,3.373343097E-2
1.520935470E-1,-2.259054221E-2,-2.334648557E-2,-4.474584479E-3,3.279348856E-2
1.545385990E-1,-2.320140414E-2,-2.151389048E-2,-3.252855036E-3,3.180776168E-2
1.569844320E-1,-2.625572868E-2,-2.334648557E-2,-3.252855036E-3,3.528459639E-2
1.594294840E-1,-2.320140414E-2,-2.273562178E-2,-3.863718826E-3,3.271302455E-2
1.618737550E-1,-2.686659433E-2,-2.273562178E-2,-3.863718826E-3,3.540693028E-2
1.643188070E-1,-2.320140414E-2,-2.151389048E-2,-5.085448269E-3,3.204706572E-2
1.667646400E-1,-2.869918756E-2,-2.395734936E-2,-3.863718826E-3,3.758359054E-2
1.692096930E-1,-2.564486302E-2,-2.273562178E-2,-5.696313921E-3,3.474212845E-2
1.716539630E-1,-2.625572868E-2,-2.701167390E-2,-6.307177711E-3,3.819390404E-2
1.740990150E-1,-2.625572868E-2,-2.701167390E-2,-7.528907154E-3,3.841455789E-2
1.765448490E-1,-2.442313544E-2,-2.945513278E-2,-9.361501783E-3,3.939203102E-2
1.789899010E-1,-2.503400110E-2,-3.128772601E-2,-1.058323123E-2,4.144427335E-2
1.814341720E-1,-2.197967656E-2,-2.884426713E-2,-1.058323123E-2,3.777701300E-2
1.838791720E-1,-2.564486302E-2,-2.823340334E-2,-1.119409502E-2,3.975036889E-2
1.863250570E-1,-2.381226979E-2,-2.762253955E-2,-1.424841955E-2,3.915413572E-2
1.887701090E-1,-2.686659433E-2,-2.701167390E-2,-1.424841955E-2,4.067507686E-2
1.912143800E-1,-2.320140414E-2,-2.456821501E-2,-1.547014900E-2,3.716487391E-2
1.936594320E-1,-2.442313544E-2,-2.395734936E-2,-1.669187844E-2,3.806655933E-2
1.961052650E-1,-2.503400110E-2,-2.334648557E-2,-1.791360788E-2,3.863491875E-2
1.985503180E-1,-2.197967656E-2,-2.273562178E-2,-1.852447167E-2,3.664929372E-2
2.009945360E-1,-2.259054221E-2,-2.090302669E-2,-2.035706677E-2,3.690093887E-2
2.034395880E-1,-2.136881091E-2,-2.090302669E-2,-2.035706677E-2,3.616590620E-2
2.058854740E-1,-2.442313544E-2,-1.968129724E-2,-2.096793056E-2,3.772926076E-2
2.083305260E-1,-2.014708333E-2,-1.784870401E-2,-2.157879621E-2,3.449819774E-2
2.107747450E-1,-2.442313544E-2,-1.845956780E-2,-2.341138944E-2,3.854008749E-2
2.132197970E-1,-2.136881091E-2,-1.662697271E-2,-2.218966186E-2,3.500661929E-2
2.156656820E-1,-2.320140414E-2,-1.907043159E-2,-2.280052565E-2,3.770743276E-2
2.181107340E-1,-2.259054221E-2,-1.662697271E-2,-2.402225323E-2,3.693044095E-2
2.205549530E-1,-2.136881091E-2,-1.784870401E-2,-2.218966186E-2,3.560313761E-2
2.230000050E-1,-2.320140414E-2,-1.845956780E-2,-2.218966186E-2,3.703298382E-2
2.254458380E-1,-2.014708333E-2,-1.784870401E-2,-2.096793056E-2,3.411942721E-2
2.278909430E-1,-2.259054221E-2,-1.968129724E-2,-1.913533732E-2,3.555062859E-2
2.303351610E-1,-1.892535202E-2,-1.845956780E-2,-1.913533732E-2,3.263565117E-2
2.327802130E-1,-2.136881091E-2,-2.151389048E-2,-1.730274409E-2,3.491215427E-2
2.352260990E-1,-1.953621767E-2,-1.907043159E-2,-1.485928334E-2,3.108284838E-2
2.376710990E-1,-1.953621767E-2,-2.090302669E-2,-1.363755390E-2,3.169516055E-2
2.401153700E-1,-1.648189314E-2,-1.968129724E-2,-1.363755390E-2,2.906869689E-2
2.425604220E-1,-1.709275879E-2,-2.090302669E-2,-1.180496067E-2,2.946957794E-2
2.450062550E-1,-2.014708333E-2,-1.845956780E-2,-9.361501783E-3,2.888422278E-2
2.474513070E-1,-1.587102748E-2,-1.968129724E-2,-9.361501783E-3,2.696072496E-2
2.498955780E-1,-2.014708333E-2,-1.907043159E-2,-8.750636131E-3,2.908882879E-2
2.523406300E-1,-1.587102748E-2,-1.662697271E-2,-8.139772341E-3,2.438445465E-2
2.547864630E-1,-1.953621767E-2,-1.845956780E-2,-6.918043364E-3,2.775389645E-2
2.572315150E-1,-1.770362258E-2,-1.601610892E-2,-8.139772341E-3,2.522280498E-2
