"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.591668300E-2,5.729315281E-1,-7.061705112E0,6.999699593E0,9.959504205E0
1.831965100E-2,5.729315281E-1,-7.061705112E0,6.999699593E0,9.959504205E0
2.074730800E-2,5.944783688E-1,-7.023399830E0,7.002093315E0,9.935333940E0
2.319996400E-2,6.112370491E-1,-7.028188229E0,7.033216953E0,9.961685662E0
2.565314100E-2,6.256016493E-1,-6.997065067E0,7.049975395E0,9.952509736E0
2.810647400E-2,6.351780891E-1,-6.982700348E0,7.059551716E0,9.949815364E0
3.055975600E-2,6.447545290E-1,-6.946788788E0,7.047581196E0,9.916752673E0
3.301308900E-2,6.567250490E-1,-6.944395065E0,7.081099033E0,9.939711974E0
3.546647400E-2,6.902424097E-1,-6.937212467E0,7.042793274E0,9.909706782E0
3.791996400E-2,7.022129297E-1,-6.918059826E0,7.047581196E0,9.900558341E0
4.037350600E-2,7.333360910E-1,-6.918059826E0,7.073916435E0,9.921573832E0
4.282699500E-2,7.165774107E-1,-6.901300907E0,7.083492756E0,9.915508410E0
4.528048500E-2,6.950305700E-1,-6.896512985E0,7.095463276E0,9.919201477E0
4.773402600E-2,7.046068907E-1,-6.908483505E0,7.107433796E0,9.936761564E0
5.018751600E-2,6.926364899E-1,-6.884542465E0,7.085886955E0,9.903861076E0
5.264100600E-2,7.070010900E-1,-6.870177746E0,7.114616394E0,9.915490872E0
5.509449500E-2,6.854541302E-1,-6.882148266E0,7.150527954E0,9.948058210E0
5.754798500E-2,7.046068907E-1,-6.877359867E0,7.143345356E0,9.940922115E0
6.000152600E-2,7.022129297E-1,-6.870177746E0,7.152921677E0,9.942672366E0
6.245506800E-2,6.830600500E-1,-6.886936188E0,7.133769035E0,9.939171079E0
6.490861000E-2,6.854541302E-1,-6.884542465E0,7.109827995E0,9.920505352E0
6.736215100E-2,7.070010900E-1,-6.915665150E0,7.117010593E0,9.948774537E0
6.981569300E-2,7.237597704E-1,-6.879754066E0,7.059551716E0,9.883932145E0
7.226923500E-2,7.333360910E-1,-6.877359867E0,7.052370071E0,9.877843094E0
7.472277600E-2,7.477008104E-1,-6.862995148E0,7.030822754E0,9.853538831E0
7.717631800E-2,7.429125309E-1,-6.860601425E0,7.057157993E0,9.870321671E0
7.962986000E-2,7.668534517E-1,-6.829477787E0,7.061945915E0,9.853979459E0
8.208340100E-2,7.740358114E-1,-6.788778305E0,7.028429031E0,9.802318958E0
8.453694300E-2,7.907944918E-1,-6.779201984E0,7.030822754E0,9.798745025E0
8.699048500E-2,8.314942122E-1,-6.750473022E0,7.028429031E0,9.780546166E0
8.944402600E-2,8.386765718E-1,-6.750473022E0,7.014063835E0,9.770842129E0
9.189756800E-2,8.697997332E-1,-6.740896225E0,7.014063835E0,9.766950649E0
9.435111000E-2,8.889524937E-1,-6.728925705E0,7.006881714E0,9.755258532E0
9.680465100E-2,9.296523333E-1,-6.731319904E0,7.023640156E0,9.772739747E0
9.925819300E-2,9.535932541E-1,-6.733713627E0,7.028429031E0,9.780135682E0
1.017117350E-1,9.559873343E-1,-6.757654667E0,7.028429031E0,9.796868021E0
1.041653290E-1,1.001475334E0,-6.745684147E0,7.030822754E0,9.794880094E0
1.066189220E-1,9.727460146E-1,-6.750473022E0,7.047581196E0,9.807319794E0
1.090725160E-1,9.823224545E-1,-6.767231464E0,7.071522236E0,9.837012038E0
1.115261100E-1,9.655637741E-1,-6.781595707E0,7.102645874E0,9.867620389E0
1.139797040E-1,9.823224545E-1,-6.788778305E0,7.107433796E0,9.877655767E0
1.164332970E-1,9.775342941E-1,-6.786384106E0,7.112221718E0,9.878981744E0
1.188869430E-1,9.727460146E-1,-6.807931423E0,7.107433796E0,9.889882721E0
1.213405890E-1,9.847165346E-1,-6.798354626E0,7.114616394E0,9.889644013E0
1.237942350E-1,9.799282551E-1,-6.817507267E0,7.126586914E0,9.910948782E0
1.262478810E-1,9.966870546E-1,-6.827084064E0,7.148133278E0,9.934700361E0
1.287015260E-1,1.027810335E0,-6.841448307E0,7.152921677E0,9.951185735E0
1.311551720E-1,1.003869295E0,-6.831872463E0,7.148133278E0,9.938714418E0
1.336088180E-1,9.895048141E-1,-6.846236706E0,7.148133278E0,9.947154677E0
1.360624640E-1,1.011051655E0,-6.894118786E0,7.114616394E0,9.958356577E0
1.385161100E-1,1.006263375E0,-6.886936188E0,7.140951157E0,9.971742047E0
1.409650160E-1,9.799282551E-1,-6.894118786E0,7.133769035E0,9.968941462E0
1.433902760E-1,9.847165346E-1,-6.920454025E0,7.138557434E0,9.991063648E0
1.457959540E-1,9.823224545E-1,-6.930030346E0,7.157710075E0,1.001114836E1
1.482010060E-1,9.895048141E-1,-6.956365108E0,7.128981113E0,1.000962072E1
1.506063180E-1,1.008657575E0,-6.956365108E0,7.126586914E0,1.000982750E1
1.530116310E-1,1.008657575E0,-6.956365108E0,7.100251198E0,9.991094670E0
1.554173600E-1,1.001475334E0,-6.958759308E0,7.085886955E0,9.981837401E0
1.578225160E-1,1.003869295E0,-6.963547230E0,7.059551716E0,9.966745407E0
1.602273080E-1,1.008657575E0,-6.992276669E0,7.057157993E0,9.985629778E0
1.626329330E-1,1.008657575E0,-6.997065067E0,7.052370071E0,9.985601298E0
1.650379850E-1,1.027810335E0,-6.994670868E0,7.033216953E0,9.972359568E0
1.674429330E-1,1.044569016E0,-6.999458790E0,7.014063835E0,9.963967044E0
1.698487660E-1,1.042174935E0,-7.011429310E0,7.023640156E0,9.978867200E0
1.722545990E-1,1.054145455E0,-7.009035110E0,7.014063835E0,9.971704333E0
1.746610060E-1,1.056539536E0,-7.021005630E0,6.999699593E0,9.970285364E0
1.770669950E-1,1.027810335E0,-7.006641388E0,6.987729073E0,9.948757471E0
1.794724640E-1,1.013445616E0,-7.011429310E0,7.011670113E0,9.967483672E0
1.818787660E-1,1.051751256E0,-7.021005630E0,7.014063835E0,9.979869350E0
1.842849640E-1,1.020628095E0,-7.037764549E0,7.126586914E0,1.006777297E1
1.866906410E-1,1.023022175E0,-7.032976151E0,6.683678150E0,9.756068958E0
1.890964740E-1,9.918987751E-1,-7.047340870E0,7.385149479E0,1.025618396E1
1.915024640E-1,1.013445616E0,-7.044946671E0,6.891964912E0,9.907448004E0
1.939089740E-1,9.631696939E-1,-7.078464508E0,7.023640156E0,1.001817731E1
1.963149640E-1,9.751402140E-1,-7.064099789E0,7.212774277E0,1.014280617E1
1.987204330E-1,9.392286539E-1,-7.056917191E0,6.817748070E0,9.857176038E0
2.011264220E-1,9.224698544E-1,-7.085646152E0,7.313326359E0,1.022458187E1
2.035319950E-1,9.296523333E-1,-7.059311390E0,6.884782791E0,9.904461865E0
2.059374120E-1,9.009230137E-1,-7.066493988E0,7.133769035E0,1.008155049E1
2.083431930E-1,9.033172131E-1,-7.085646152E0,7.186439514E0,1.013248618E1
2.107489220E-1,9.057112932E-1,-7.095222950E0,6.860841751E0,9.911289078E0
2.131551200E-1,8.745880127E-1,-7.095222950E0,7.337267399E0,1.024414886E1
2.155609010E-1,8.793761730E-1,-7.080858231E0,6.860841751E0,9.898636536E0
2.179663180E-1,8.530410528E-1,-7.109587193E0,7.167286396E0,1.013133275E1
2.203723600E-1,8.458588123E-1,-7.100011349E0,7.112221718E0,1.008510466E1
2.227781410E-1,8.530410528E-1,-7.102405548E0,6.868023872E0,9.916733107E0
2.251833490E-1,8.003709316E-1,-7.095222950E0,7.286991596E0,1.020210904E1
2.275887140E-1,8.027650118E-1,-7.071281910E0,6.836900711E0,9.868671179E0
2.299940790E-1,7.692476511E-1,-7.085646152E0,7.174468994E0,1.011291890E1
2.323997560E-1,7.596712112E-1,-7.083252430E0,7.016458511E0,9.999012720E0
2.348051720E-1,7.572771311E-1,-7.059311390E0,6.853659153E0,9.868130002E0
2.372101720E-1,7.381243706E-1,-7.054523468E0,7.248685837E0,1.014172447E1
2.396160060E-1,7.644594908E-1,-7.054523468E0,6.733954430E0,9.782476268E0
2.420217350E-1,7.285479307E-1,-7.044946671E0,7.148133278E0,1.006269671E1
2.444272040E-1,7.453066111E-1,-7.021005630E0,6.954211235E0,9.910149137E0
2.468328290E-1,7.524889708E-1,-7.021005630E0,6.868023872E0,9.850406673E0
2.492383490E-1,7.429125309E-1,-7.023399830E0,7.169680595E0,1.006401431E1
2.516442350E-1,7.620652914E-1,-7.009035110E0,6.710013390E0,9.733015790E0
2.540499640E-1,7.357302904E-1,-6.994670868E0,7.114616394E0,1.000422341E1
2.564552240E-1,7.309420109E-1,-6.999458790E0,6.841689110E0,9.815060339E0
2.588612140E-1,7.165774107E-1,-7.001853466E0,6.834506989E0,9.810704405E0
2.612670470E-1,7.477008104E-1,-6.989882946E0,7.083492756E0,9.979648778E0
2.636724640E-1,7.524889708E-1,-6.975517750E0,6.619038105E0,9.645504288E0
2.660780890E-1,7.165774107E-1,-6.999458790E0,7.090675354E0,9.989173315E0
2.684837140E-1,7.405184507E-1,-6.965941906E0,6.729166508E0,9.713619104E0
2.708898080E-1,7.548830509E-1,-6.970729828E0,6.798595428E0,9.766361787E0
2.732955890E-1,7.955826521E-1,-6.965941906E0,7.002093315E0,9.908915641E0
2.757007450E-1,7.907944918E-1,-6.946788788E0,6.578337669E0,9.599883170E0
2.781065260E-1,7.860063314E-1,-6.956365108E0,7.042793274E0,9.930244638E0
2.805121510E-1,8.171296120E-1,-6.937212467E0,6.652555466E0,9.646196755E0
2.829176200E-1,8.338882923E-1,-6.939606190E0,6.805777550E0,9.755619499E0
2.853234540E-1,8.674057722E-1,-6.958759308E0,6.927876472E0,9.857595868E0
2.877291310E-1,8.841644526E-1,-6.925241947E0,6.561579227E0,9.580973059E0
