"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.186927100E-2,1.164273858E0,-6.800748825E0,7.124192238E0,9.917652607E0
1.427224000E-2,1.164273858E0,-6.800748825E0,7.124192238E0,9.917652607E0
1.669994800E-2,1.159485817E0,-6.841448307E0,7.138557434E0,9.955341508E0
1.915244800E-2,1.159485817E0,-6.841448307E0,7.138557434E0,9.955341508E0
2.160520800E-2,1.161879778E0,-6.836660385E0,7.131374836E0,9.947180349E0
2.405849000E-2,1.195397139E0,-6.851024628E0,7.124192238E0,9.955884080E0
2.651192700E-2,1.219338179E0,-6.865389347E0,7.136162758E0,9.977232852E0
2.896531300E-2,1.236096859E0,-6.870177746E0,7.126586914E0,9.975746526E0
3.141875000E-2,1.245673299E0,-6.858207226E0,7.145739555E0,9.982399617E0
3.387224000E-2,1.276796579E0,-6.874965668E0,7.155315876E0,1.000469428E1
3.632572900E-2,1.283978939E0,-6.870177746E0,7.164892197E0,1.000917701E1
3.877921900E-2,1.305525780E0,-6.867783546E0,7.174468994E0,1.001717793E1
4.123265600E-2,1.315102220E0,-6.858207226E0,7.157710075E0,9.999865685E0
4.368614600E-2,1.312708020E0,-6.865389347E0,7.160103798E0,1.000619107E1
4.613958300E-2,1.327072620E0,-6.841448307E0,7.167286396E0,9.996826044E0
4.859302100E-2,1.315102220E0,-6.846236706E0,7.143345356E0,9.981374342E0
5.104645800E-2,1.305525780E0,-6.848630905E0,7.136162758E0,9.976620758E0
5.349989600E-2,1.319890380E0,-6.824689865E0,7.138557434E0,9.963809744E0
5.595333300E-2,1.315102220E0,-6.798354626E0,7.109827995E0,9.924554075E0
5.840677100E-2,1.310313940E0,-6.800748825E0,7.109827995E0,9.925561008E0
6.086020800E-2,1.300737500E0,-6.781595707E0,7.105040073E0,9.907752158E0
6.331369800E-2,1.281584740E0,-6.774414062E0,7.112221718E0,9.905495601E0
6.576718800E-2,1.264826059E0,-6.786384106E0,7.066734314E0,9.878943671E0
6.822067700E-2,1.243279219E0,-6.764837265E0,7.073916435E0,9.866562733E0
7.067416700E-2,1.226520538E0,-6.764837265E0,7.061945915E0,9.855884332E0
7.312765600E-2,1.226520538E0,-6.743290424E0,7.016458511E0,9.808517137E0
7.558114600E-2,1.219338179E0,-6.755260944E0,7.004487991E0,9.807302791E0
7.803458300E-2,1.200185418E0,-6.738502502E0,6.978152275E0,9.774582865E0
8.048802100E-2,1.188214898E0,-6.752866745E0,6.954211235E0,9.765967326E0
8.294151100E-2,1.188214898E0,-6.750473022E0,6.963788033E0,9.771135268E0
8.539500000E-2,1.190608978E0,-6.755260944E0,6.959000111E0,9.771324511E0
8.784849000E-2,1.207367659E0,-6.745684147E0,6.908723831E0,9.731004894E0
9.030197900E-2,1.188214898E0,-6.755260944E0,6.908723831E0,9.735289931E0
9.275546900E-2,1.214550018E0,-6.752866745E0,6.908723831E0,9.736878658E0
9.520895800E-2,1.240885139E0,-6.752866745E0,6.899147511E0,9.733408528E0
9.766244800E-2,1.248067379E0,-6.764837265E0,6.906329155E0,9.747721672E0
1.001159380E-1,1.274402499E0,-6.757654667E0,6.932664871E0,9.764826703E0
1.025694270E-1,1.279190660E0,-6.760049343E0,6.937452793E0,9.770509051E0
1.050229170E-1,1.279190660E0,-6.764837265E0,6.942240715E0,9.777221390E0
1.074764060E-1,1.291161180E0,-6.774414062E0,6.944635391E0,9.787121323E0
1.099298960E-1,1.279190660E0,-6.781595707E0,6.992517471E0,9.824544247E0
1.123833860E-1,1.293555260E0,-6.798354626E0,7.004487991E0,9.846510186E0
1.148368750E-1,1.305525780E0,-6.807931423E0,7.071522236E0,9.902462045E0
1.172903650E-1,1.283978939E0,-6.810325146E0,7.064340591E0,9.896162817E0
