"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.330835300E-2,3.852846861E0,-1.751594663E0,8.871885300E0,9.829692852E0
2.576111400E-2,3.833693743E0,-1.746806502E0,8.862307549E0,9.812697680E0
2.821434300E-2,3.833693743E0,-1.734835982E0,8.869490623E0,9.817063080E0
3.066767600E-2,3.843270540E0,-1.722865462E0,8.871885300E0,9.820862621E0
3.312085300E-2,3.843270540E0,-1.713289022E0,8.871885300E0,9.819187160E0
3.557408200E-2,3.848058462E0,-1.715683222E0,8.869490623E0,9.819317021E0
3.802736400E-2,3.838482141E0,-1.715683222E0,8.857520103E0,9.804752748E0
4.048069700E-2,3.867211580E0,-1.710894942E0,8.840762138E0,9.800079699E0
4.293403000E-2,3.836087942E0,-1.701318622E0,8.819214821E0,9.766709057E0
4.538736400E-2,3.831300020E0,-1.698924422E0,8.812031746E0,9.757925370E0
4.784074900E-2,3.838482141E0,-1.713289022E0,8.826396942E0,9.776225622E0
5.029413500E-2,3.821723461E0,-1.701318622E0,8.852731705E0,9.791369358E0
5.274752000E-2,3.802570581E0,-1.686953902E0,8.850337982E0,9.779255539E0
5.520090500E-2,3.800176382E0,-1.706106782E0,8.838366508E0,9.770816927E0
5.765429100E-2,3.804964781E0,-1.689348102E0,8.812031746E0,9.745950825E0
6.010767600E-2,3.804964781E0,-1.684559941E0,8.816821098E0,9.749452983E0
6.256111400E-2,3.790600061E0,-1.691742182E0,8.807244301E0,9.736436340E0
6.501449900E-2,3.759476900E0,-1.696530461E0,8.807244301E0,9.725195851E0
6.746788500E-2,3.769053221E0,-1.710894942E0,8.824003220E0,9.746586916E0
6.992127000E-2,3.759476900E0,-1.710894942E0,8.816821098E0,9.736383433E0
7.237465500E-2,3.764265060E0,-1.734835982E0,8.816821098E0,9.742467942E0
7.482804100E-2,3.759476900E0,-1.744412303E0,8.828790665E0,9.753162843E0
7.728142600E-2,3.745112181E0,-1.749200583E0,8.838366508E0,9.757166108E0
7.973481200E-2,3.759476900E0,-1.768353343E0,8.840762138E0,9.768306675E0
8.218819700E-2,3.759476900E0,-1.758776903E0,8.850337982E0,9.775246552E0
8.464158200E-2,3.721171141E0,-1.785112023E0,8.785696983E0,9.706812612E0
8.709496800E-2,3.740324259E0,-1.768353343E0,8.795273781E0,9.719770573E0
8.954840500E-2,3.725959301E0,-1.777929664E0,8.895826340E0,9.807116440E0
9.200184300E-2,3.706806660E0,-1.775535703E0,8.958071709E0,9.855962225E0
9.445528000E-2,3.730747700E0,-1.785112023E0,8.941313744E0,9.851507235E0
9.690871800E-2,3.742718220E0,-1.782717943E0,8.931736946E0,9.846925805E0
9.936215500E-2,3.764265060E0,-1.792294383E0,8.914978981E0,9.841689938E0
1.018155930E-1,3.771447420E0,-1.749200583E0,8.934130669E0,9.854045318E0
1.042690300E-1,3.781023741E0,-1.773141623E0,8.910189629E0,9.840307463E0
1.067224680E-1,3.797782421E0,-1.761171103E0,8.919766426E0,9.853279051E0
