"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.273314700E-2,2.320623398E0,-6.992276669E0,6.530456066E0,9.845002915E0
2.513799100E-2,2.318229437E0,-6.989882946E0,6.542426586E0,9.850685101E0
2.754366800E-2,2.315835476E0,-6.963547230E0,6.513697147E0,9.812356216E0
2.994929300E-2,2.320623398E0,-6.985094547E0,6.516091347E0,9.830375640E0
3.235460600E-2,2.315835476E0,-6.994670868E0,6.520879745E0,9.839226959E0
3.476028300E-2,2.306258917E0,-6.980306149E0,6.516091347E0,9.823591530E0
3.716590800E-2,2.294288397E0,-6.977912426E0,6.494544983E0,9.804801661E0
3.957215800E-2,2.272741318E0,-6.985094547E0,6.496938705E0,9.806483135E0
4.197861600E-2,2.291894436E0,-6.975517750E0,6.489756584E0,9.799365720E0
4.438460600E-2,2.301470757E0,-6.980306149E0,6.496938705E0,9.809773398E0
4.679090800E-2,2.291894436E0,-6.985094547E0,6.487362385E0,9.804600790E0
4.919668900E-2,2.284711838E0,-6.987488270E0,6.499332905E0,9.812554647E0
5.160205400E-2,2.272741318E0,-6.982700348E0,6.504120827E0,9.809538469E0
5.400783500E-2,2.291894436E0,-6.968335629E0,6.506515026E0,9.805366863E0
5.641356400E-2,2.299076557E0,-6.973124027E0,6.513697147E0,9.815215853E0
5.881955400E-2,2.287106276E0,-6.982700348E0,6.549608707E0,9.843085567E0
6.122491800E-2,2.311047077E0,-6.977912426E0,6.549608707E0,9.845281847E0
6.362991800E-2,2.311047077E0,-6.989882946E0,6.547214985E0,9.852178757E0
6.603590800E-2,2.318229437E0,-7.013823986E0,6.547214985E0,9.870863118E0
6.844132400E-2,2.315835476E0,-7.001853466E0,6.552002907E0,9.864977851E0
7.084653300E-2,2.311047077E0,-7.009035110E0,6.566367149E0,9.878496308E0
7.325221000E-2,2.351746798E0,-6.992276669E0,6.568761826E0,9.877817468E0
