"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
4.858490000E-3,2.780290365E0,-5.996331692E0,7.294173241E0,9.843321164E0
7.261458000E-3,2.780290365E0,-5.996331692E0,7.294173241E0,9.843321164E0
9.689323000E-3,2.792260885E0,-5.965208530E0,7.294173241E0,9.827786980E0
1.214213500E-2,2.792260885E0,-5.965208530E0,7.294173241E0,9.827786980E0
1.459520800E-2,2.787472725E0,-5.998725891E0,7.253473759E0,9.816699959E0
1.704849000E-2,2.787472725E0,-5.998725891E0,7.253473759E0,9.816699959E0
1.950192700E-2,2.785078764E0,-5.974784851E0,7.248685837E0,9.797865283E0
2.195552100E-2,2.785078764E0,-5.974784851E0,7.248685837E0,9.797865283E0
2.440901000E-2,2.777896404E0,-5.984361172E0,7.265444279E0,9.814069881E0
2.686239600E-2,2.777896404E0,-5.984361172E0,7.265444279E0,9.814069881E0
2.931578100E-2,2.780290365E0,-5.967602253E0,7.263050556E0,9.802764638E0
3.176916700E-2,2.770714283E0,-5.958025932E0,7.243897438E0,9.780029690E0
3.422260400E-2,2.758743763E0,-5.965208530E0,7.255867958E0,9.789892736E0
3.667609400E-2,2.761137724E0,-5.972390652E0,7.253473759E0,9.793171764E0
3.912953100E-2,2.744378805E0,-5.962814331E0,7.258262157E0,9.786170820E0
4.158296900E-2,2.720438004E0,-5.955631733E0,7.255867958E0,9.773328609E0
4.403645800E-2,2.722832203E0,-5.958025932E0,7.270232201E0,9.786121012E0
4.648989600E-2,2.730014324E0,-5.955631733E0,7.284597397E0,9.797340802E0
4.894333300E-2,2.737196684E0,-5.948449612E0,7.263050556E0,9.778967320E0
5.139677100E-2,2.746773243E0,-5.946055412E0,7.239109516E0,9.762430271E0
5.385020800E-2,2.753955364E0,-5.962814331E0,7.251080036E0,9.783536507E0
5.630364600E-2,2.770714283E0,-5.958025932E0,7.248685837E0,9.783576903E0
5.875708300E-2,2.780290365E0,-5.941267490E0,7.239109516E0,9.769000998E0
6.121052100E-2,2.780290365E0,-5.950843811E0,7.277414799E0,9.803230219E0
6.366401000E-2,2.789866924E0,-5.950843811E0,7.239109516E0,9.777556244E0
6.611750000E-2,2.787472725E0,-5.955631733E0,7.258262157E0,9.793973814E0
6.857099000E-2,2.777896404E0,-5.950843811E0,7.272626877E0,9.798997509E0
7.102447900E-2,2.787472725E0,-5.948449612E0,7.275021076E0,9.802040024E0
7.347796900E-2,2.780290365E0,-5.958025932E0,7.282202721E0,9.811144887E0
7.593145800E-2,2.758743763E0,-5.979572773E0,7.325296879E0,9.850174215E0
7.838494800E-2,2.720438004E0,-5.972390652E0,7.313326359E0,9.826239131E0
8.083843800E-2,2.722832203E0,-5.981966972E0,7.301355839E0,9.823825179E0
8.329192700E-2,2.713255644E0,-5.993937492E0,7.308538437E0,9.833807855E0
8.574541700E-2,2.734802723E0,-5.993937492E0,7.322902679E0,9.850448530E0
8.819890600E-2,2.770714283E0,-5.972390652E0,7.310932159E0,9.838497689E0
9.065239600E-2,2.761137724E0,-5.986755371E0,7.303750038E0,9.839201493E0
9.310588500E-2,2.792260885E0,-5.986755371E0,7.303750038E0,9.847980775E0
9.555937500E-2,2.818596125E0,-5.967602253E0,7.294173241E0,9.836753734E0
9.801281300E-2,2.828172445E0,-5.972390652E0,7.286991596E0,9.837085747E0
1.004662500E-1,2.861689806E0,-5.967602253E0,7.298962116E0,9.852735314E0
1.029196880E-1,2.871266127E0,-5.960420132E0,7.346843719E0,9.886702684E0
1.053731250E-1,2.866477966E0,-5.950843811E0,7.349237919E0,9.881322583E0
1.078265630E-1,2.897601366E0,-5.958025932E0,7.318114281E0,9.871624148E0
1.102800000E-1,2.883236647E0,-5.962814331E0,7.363602161E0,9.904082244E0
1.127334380E-1,2.892813206E0,-5.948449612E0,7.332479477E0,9.875103863E0
1.151868750E-1,2.883236647E0,-5.955631733E0,7.330084801E0,9.874854231E0
1.176403130E-1,2.852113485E0,-5.977179050E0,7.315720558E0,9.868180583E0
1.200937500E-1,2.832960606E0,-5.969996452E0,7.325296879E0,9.865419291E0
1.225471880E-1,2.828172445E0,-5.974784851E0,7.318114281E0,9.861612952E0
1.250006250E-1,2.811413765E0,-5.984361172E0,7.306143761E0,9.853748659E0
1.274540630E-1,2.785078764E0,-5.984361172E0,7.294173241E0,9.837388150E0
1.298986980E-1,2.785078764E0,-5.986755371E0,7.248685837E0,9.805169553E0
1.323193750E-1,2.782684565E0,-6.010696411E0,7.294173241E0,9.852754336E0
1.347251040E-1,2.756349325E0,-5.998725891E0,7.260656357E0,9.813220911E0
1.371303130E-1,2.787472725E0,-6.001119614E0,7.143345356E0,9.737084969E0
1.395353130E-1,2.758743763E0,-5.991543293E0,7.528795242E0,1.000959619E1
1.419408330E-1,2.806625605E0,-5.955631733E0,6.915905952E0,9.548636121E0
1.443459380E-1,2.782684565E0,-5.986755371E0,7.650894165E0,1.010548142E1
1.467509900E-1,2.837749004E0,-5.955631733E0,7.016458511E0,9.630838945E0
1.491563540E-1,2.797049284E0,-5.984361172E0,7.325296879E0,9.863875389E0
1.515618230E-1,2.813807964E0,-5.962814331E0,7.456972599E0,9.953849022E0
1.539676040E-1,2.818596125E0,-5.946055412E0,7.006881714E0,9.612307238E0
1.563728650E-1,2.818596125E0,-5.967602253E0,7.648500443E0,1.010229280E1
1.587778650E-1,2.852113485E0,-5.946055412E0,7.073916435E0,9.671112657E0
1.611832810E-1,2.818596125E0,-5.974784851E0,7.452184200E0,9.958794480E0
1.635882810E-1,2.828172445E0,-5.969996452E0,7.461760521E0,9.965805893E0
1.659932290E-1,2.844931126E0,-5.974784851E0,7.085886955E0,9.695436095E0
1.683984900E-1,2.835354567E0,-5.996331692E0,7.682017326E0,1.014931621E1
1.708035940E-1,2.844931126E0,-5.955631733E0,7.059551716E0,9.664390973E0
1.732092190E-1,2.832960606E0,-5.998725891E0,7.490489960E0,1.000588916E1
1.756145830E-1,2.823384285E0,-5.977179050E0,7.428243160E0,9.943689691E0
1.780193750E-1,2.816201925E0,-6.010696411E0,7.121798515E0,9.735475270E0
1.804250000E-1,2.780290365E0,-6.025060654E0,7.674835205E0,1.014566241E1
1.828303130E-1,2.797049284E0,-5.993937492E0,7.045187473E0,9.663614122E0
1.852351040E-1,2.785078764E0,-6.017878532E0,7.538372040E0,1.003984954E1
1.876402600E-1,2.799443245E0,-5.998725891E0,7.354025841E0,9.894609182E0
1.900454170E-1,2.801837444E0,-6.017878532E0,7.140951157E0,9.749786588E0
1.924508850E-1,2.777896404E0,-6.013090134E0,7.617376804E0,1.009447328E1
1.948559380E-1,2.825778484E0,-5.986755371E0,6.970970154E0,9.613567954E0
1.972607290E-1,2.782684565E0,-6.022666931E0,7.521612644E0,1.002948190E1
1.996663540E-1,2.820990086E0,-5.991543293E0,7.251080036E0,9.820119031E0
2.020716670E-1,2.797049284E0,-5.998725891E0,7.162498474E0,9.752414132E0
2.044765100E-1,2.813807964E0,-6.015484333E0,7.588647842E0,1.008420265E1
2.068816670E-1,2.804231405E0,-5.974784851E0,6.975758553E0,9.603279397E0
2.092870310E-1,2.787472725E0,-6.020272732E0,7.579071522E0,1.007253757E1
2.116926560E-1,2.818596125E0,-5.996331692E0,7.196015358E0,9.781774630E0
2.140976560E-1,2.799443245E0,-5.996331692E0,7.207985878E0,9.785087463E0
2.165022920E-1,2.794655085E0,-5.993937492E0,7.552736282E0,1.003898446E1
2.189078650E-1,2.813807964E0,-5.986755371E0,6.978152275E0,9.615267251E0
2.213131250E-1,2.804231405E0,-6.005908012E0,7.605406284E0,1.008845130E1
2.237176560E-1,2.825778484E0,-5.984361172E0,7.143345356E0,9.737812154E0
2.261221880E-1,2.794655085E0,-6.017878532E0,7.284597397E0,9.853441952E0
2.285270830E-1,2.799443245E0,-6.010696411E0,7.538372040E0,1.003954216E1
2.309326560E-1,2.787472725E0,-5.989149570E0,6.997305393E0,9.623003665E0
2.333378650E-1,2.756349325E0,-6.020272732E0,7.667653084E0,1.013084642E1
2.357430210E-1,2.758743763E0,-5.996331692E0,7.176862717E0,9.750590719E0
2.381488020E-1,2.710861683E0,-6.015484333E0,7.382755280E0,9.901509902E0
2.405543230E-1,2.718043804E0,-6.025060654E0,7.550342560E0,1.003477906E1
2.429592190E-1,2.732408524E0,-6.017878532E0,7.047581196E0,9.661745136E0
2.453641670E-1,2.701285124E0,-6.029849052E0,7.677229404E0,1.012896205E1
2.477692190E-1,2.751561165E0,-6.005908012E0,7.035610676E0,9.651001890E0
2.501748960E-1,2.730014324E0,-6.008302212E0,7.356420517E0,9.882792950E0
2.525802600E-1,2.749167204E0,-6.020272732E0,7.423454762E0,9.945314710E0
2.549850520E-1,2.780290365E0,-6.008302212E0,7.002093315E0,9.636338557E0
2.573906250E-1,2.797049284E0,-5.996331692E0,7.662864685E0,1.012417768E1
2.597958850E-1,2.813807964E0,-5.977179050E0,7.028429031E0,9.645879914E0
2.622010420E-1,2.801837444E0,-6.015484333E0,7.452184200E0,9.978546697E0
2.646063540E-1,2.828172445E0,-5.972390652E0,7.416272640E0,9.933232573E0
2.670113540E-1,2.837749004E0,-5.974784851E0,7.073916435E0,9.684583995E0
2.694168230E-1,2.830566645E0,-6.005908012E0,7.691593647E0,1.016088832E1
2.718222400E-1,2.820990086E0,-5.972390652E0,7.014063835E0,9.634548596E0
2.742273960E-1,2.804231405E0,-6.003513813E0,7.543159962E0,1.004017699E1
2.766335940E-1,2.816201925E0,-6.003513813E0,7.363602161E0,9.909379808E0
2.790397400E-1,2.801837444E0,-6.013090134E0,7.119404316E0,9.731056666E0
2.814452600E-1,2.787472725E0,-6.049001694E0,7.653288364E0,1.014560242E1
2.838510420E-1,2.777896404E0,-6.029849052E0,6.987729073E0,9.638679662E0
2.862565630E-1,2.744378805E0,-6.053789616E0,7.595829964E0,1.009339470E1
2.886623960E-1,2.765925884E0,-6.049001694E0,7.373178959E0,9.929981644E0
2.910679690E-1,2.734802723E0,-6.053789616E0,7.246292114E0,9.830374563E0
2.934730730E-1,2.756349325E0,-6.068154812E0,7.698776245E0,1.018288368E1
2.958789580E-1,2.789866924E0,-6.044213772E0,7.045187473E0,9.692808886E0
2.982845830E-1,2.777896404E0,-6.075336933E0,7.677229404E0,1.017675187E1
