"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.114885610E-1,1.954767480E-2,1.105356589E-1,7.941238582E-3,1.125313590E-1
1.139343940E-1,2.199113369E-2,1.080922112E-1,9.162968025E-3,1.106864764E-1
1.163793940E-1,2.443459257E-2,1.038161591E-1,1.099556312E-2,1.072182196E-1
1.188236130E-1,2.626718581E-2,9.892923385E-2,1.038469747E-2,1.028824587E-1
1.212686650E-1,3.054323792E-2,9.159886092E-2,1.221729256E-2,9.732678430E-2
1.237144980E-1,3.359756246E-2,8.487934619E-2,1.221729256E-2,9.210082438E-2
1.261594980E-1,3.543015569E-2,7.754897326E-2,1.160642691E-2,8.604561774E-2
1.286037170E-1,3.909534588E-2,6.777513772E-2,1.282815635E-2,7.928730641E-2
1.310487690E-1,4.092793912E-2,5.800130591E-2,1.282815635E-2,7.213743330E-2
1.334945510E-1,4.520399123E-2,4.883832857E-2,1.160642691E-2,6.755214509E-2
1.359396030E-1,4.642572254E-2,3.723190352E-2,1.343902200E-2,6.100958667E-2
1.383838210E-1,4.948004335E-2,2.745806798E-2,1.343902200E-2,5.816207957E-2
1.408288730E-1,5.009090900E-2,1.707336679E-2,1.466075052E-2,5.491390192E-2
1.432746550E-1,5.192350596E-2,6.077799015E-3,1.343902200E-2,5.397774935E-2
1.457197070E-1,5.314523354E-2,-4.306900315E-3,1.221729256E-2,5.470125662E-2
1.481639260E-1,5.558869243E-2,-1.896765269E-2,1.343902200E-2,6.025348029E-2
1.506089260E-1,5.681042373E-2,-2.935235202E-2,1.221729256E-2,6.510182065E-2
1.530547590E-1,5.803215131E-2,-4.034791887E-2,1.221729256E-2,7.172828856E-2
1.554998110E-1,6.047561020E-2,-5.134348199E-2,1.221729256E-2,8.026652359E-2
1.579440300E-1,6.108647585E-2,-6.050645560E-2,1.099556312E-2,8.668039634E-2
1.603890300E-1,6.047561020E-2,-6.844769418E-2,1.038469747E-2,9.192512284E-2
1.628348630E-1,6.169734150E-2,-7.516720146E-2,1.038469747E-2,9.779832343E-2
1.652798630E-1,6.047561020E-2,-7.944326103E-2,1.099556312E-2,1.004461724E-1
1.677241340E-1,6.047561020E-2,-8.433017880E-2,1.160642691E-2,1.044202453E-1
1.701691340E-1,5.986474454E-2,-8.616276830E-2,9.162968025E-3,1.053174737E-1
1.726149670E-1,5.864301696E-2,-8.799536526E-2,9.162968025E-3,1.061421110E-1
1.750599670E-1,5.925387889E-2,-8.677364141E-2,9.162968025E-3,1.054734421E-1
1.775042380E-1,5.681042373E-2,-8.616276830E-2,9.773833677E-3,1.036676165E-1
1.799492380E-1,5.497782677E-2,-8.494103700E-2,7.941238582E-3,1.014918936E-1
1.823950710E-1,5.436696112E-2,-8.127585799E-2,6.719509605E-3,9.801368967E-2
1.848400710E-1,5.253436789E-2,-7.761066407E-2,6.719509605E-3,9.395970837E-2
1.872842900E-1,5.253436789E-2,-7.394547760E-2,6.108644884E-3,9.091264494E-2
1.897293420E-1,4.948004335E-2,-7.089114934E-2,5.497780163E-3,8.662595068E-2
1.921751760E-1,4.948004335E-2,-6.478250772E-2,6.108644884E-3,8.174572489E-2
1.946201760E-1,4.642572254E-2,-5.989558995E-2,6.108644884E-3,7.602726452E-2
1.970643940E-1,4.276053235E-2,-5.378694087E-2,3.665185999E-3,6.881084016E-2
1.995094460E-1,4.520399123E-2,-4.767829552E-2,4.886915442E-3,6.588249107E-2
2.019552800E-1,3.909534588E-2,-4.462397099E-2,4.276050720E-3,5.948133712E-2
2.044002800E-1,3.970620781E-2,-3.790445998E-2,5.497780163E-3,5.516843855E-2
