"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.075060420E-1,2.993237227E-2,-2.202197537E-2,-1.466075610E-2,3.994811733E-2
1.099510420E-1,2.932151034E-2,-2.324370667E-2,-1.466075610E-2,4.018654798E-2
1.123968750E-1,2.687805146E-2,-2.324370667E-2,-1.527161989E-2,3.867714990E-2
1.148418750E-1,2.626718581E-2,-2.324370667E-2,-1.466075610E-2,3.801542739E-2
1.172860940E-1,2.687805146E-2,-2.080024779E-2,-1.466075610E-2,3.701375052E-2
1.197310940E-1,2.626718581E-2,-1.957851648E-2,-1.588248461E-2,3.640792050E-2
1.221768750E-1,2.748891339E-2,-1.713505760E-2,-1.527161989E-2,3.581163124E-2
1.246218750E-1,2.565632015E-2,-1.591333002E-2,-1.404989045E-2,3.329985372E-2
1.270660940E-1,2.504545450E-2,-1.346987206E-2,-1.527161989E-2,3.227901205E-2
1.295110940E-1,2.504545450E-2,-1.224814076E-2,-1.527161989E-2,3.178858470E-2
1.319569270E-1,2.199113369E-2,-8.582954295E-3,-1.404989045E-2,2.747137578E-2
1.344019270E-1,2.260199562E-2,-7.972088642E-3,-1.404989045E-2,2.778135751E-2
1.368460940E-1,2.199113369E-2,-5.528629757E-3,-1.466075610E-2,2.700210135E-2
1.392911460E-1,2.199113369E-2,-4.917764105E-3,-1.404989045E-2,2.655548505E-2
1.417369270E-1,2.015853673E-2,-2.474304987E-3,-1.527161989E-2,2.541084734E-2
1.441819270E-1,2.015853673E-2,-3.696036292E-3,-1.588248461E-2,2.592837452E-2
1.466261460E-1,2.015853673E-2,-1.252577407E-3,-1.404989045E-2,2.460355615E-2
1.490711460E-1,2.015853673E-2,-2.474304987E-3,-1.404989045E-2,2.469591485E-2
1.515169270E-1,2.015853673E-2,-1.252577407E-3,-1.343902666E-2,2.425990501E-2
1.539619270E-1,1.954767480E-2,-3.084616037E-5,-1.404989045E-2,2.407305472E-2
1.564061460E-1,2.015853673E-2,1.190881478E-3,-1.466075610E-2,2.495440986E-2
1.588511460E-1,2.076940238E-2,-3.084616037E-5,-1.404989045E-2,2.507525570E-2
1.612969790E-1,2.076940238E-2,-1.252577407E-3,-1.527161989E-2,2.581006392E-2
1.637419790E-1,2.138026804E-2,-2.474304987E-3,-1.404989045E-2,2.570286887E-2
1.661861980E-1,2.260199562E-2,-3.085170640E-3,-1.404989045E-2,2.679119082E-2
1.686311980E-1,2.382372692E-2,-1.863441197E-3,-1.466075610E-2,2.803533747E-2
1.710769790E-1,2.321286127E-2,-4.917764105E-3,-1.404989045E-2,2.757572762E-2
1.735219790E-1,2.321286127E-2,-7.361222990E-3,-1.527161989E-2,2.874451089E-2
1.759661980E-1,2.443459257E-2,-9.804681875E-3,-1.466075610E-2,3.013501071E-2
1.784111980E-1,2.565632015E-2,-1.285900641E-2,-1.588248461E-2,3.280021535E-2
1.808570310E-1,2.504545450E-2,-1.285900641E-2,-1.710421592E-2,3.294211650E-2
1.833020310E-1,2.504545450E-2,-1.469159964E-2,-1.649335027E-2,3.339383917E-2
1.857461980E-1,2.443459257E-2,-1.713505760E-2,-1.893680915E-2,3.534490422E-2
1.881912500E-1,2.565632015E-2,-1.713505760E-2,-1.832594350E-2,3.588449760E-2
1.906370310E-1,2.626718581E-2,-2.141111158E-2,-1.771507785E-2,3.823904722E-2
1.930820310E-1,2.565632015E-2,-2.018938214E-2,-1.954767480E-2,3.805219449E-2
1.955262500E-1,2.687805146E-2,-2.202197537E-2,-1.893680915E-2,3.957271522E-2
1.979712500E-1,2.871064469E-2,-2.263284102E-2,-1.832594350E-2,4.089482628E-2
2.004170310E-1,2.871064469E-2,-2.324370667E-2,-1.832594350E-2,4.123604277E-2
2.028620840E-1,2.626718581E-2,-2.324370667E-2,-1.954767480E-2,4.015403517E-2
2.053062500E-1,3.054323792E-2,-2.263284102E-2,-1.832594350E-2,4.220160045E-2
2.077512500E-1,2.565632015E-2,-2.568716556E-2,-1.649335027E-2,3.987615630E-2
2.101970840E-1,2.993237227E-2,-2.385457046E-2,-1.649335027E-2,4.167754845E-2
2.126420840E-1,2.565632015E-2,-2.751975879E-2,-1.588248461E-2,4.083916264E-2
2.150863020E-1,2.748891339E-2,-2.568716556E-2,-1.588248461E-2,4.083777848E-2
2.175313020E-1,2.504545450E-2,-2.629802935E-2,-1.588248461E-2,3.963728619E-2
2.199770840E-1,2.565632015E-2,-2.507629991E-2,-1.649335027E-2,3.948541736E-2
2.224220840E-1,2.565632015E-2,-2.629802935E-2,-1.404989045E-2,3.933487680E-2
2.248663020E-1,2.199113369E-2,-2.385457046E-2,-1.343902666E-2,3.511777229E-2
2.273113020E-1,2.382372692E-2,-2.385457046E-2,-1.160643157E-2,3.565557110E-2
2.297571360E-1,2.015853673E-2,-2.324370667E-2,-1.282816101E-2,3.333463991E-2
2.322021360E-1,2.138026804E-2,-2.080024779E-2,-1.099556778E-2,3.179101571E-2
2.346463540E-1,1.404989138E-2,-2.018938214E-2,-9.773838334E-3,2.646768812E-2
2.370913540E-1,1.771507785E-2,-1.713505760E-2,-9.773838334E-3,2.651343240E-2
2.395371360E-1,1.466075517E-2,-1.774592325E-2,-8.552108891E-3,2.455593820E-2
2.419821360E-1,1.466075517E-2,-1.469159964E-2,-8.552108891E-3,2.244814934E-2
2.444263540E-1,1.588248461E-2,-1.346987206E-2,-7.330379449E-3,2.207770898E-2
2.468713540E-1,1.282816008E-2,-1.224814076E-2,-5.497784354E-3,1.856890616E-2
2.493171880E-1,1.404989138E-2,-9.804681875E-3,-3.665191121E-3,1.752041268E-2
2.517621880E-1,1.099556684E-2,-9.804681875E-3,-5.497784354E-3,1.572450030E-2
2.542064060E-1,1.343902573E-2,-5.528629757E-3,-4.276054911E-3,1.514786471E-2
2.566514060E-1,9.773837402E-3,-7.361222990E-3,-1.832596492E-3,1.237230421E-2
2.590971880E-1,1.282816008E-2,-1.863441197E-3,-1.221731771E-3,1.302024318E-2
2.615421880E-1,1.099556684E-2,-2.474304987E-3,-1.221731771E-3,1.133654727E-2
2.639864060E-1,9.162971750E-3,2.412612783E-3,-6.108670495E-4,9.494941300E-3
2.664314060E-1,7.941242307E-3,3.634340363E-3,1.221727114E-3,8.818411217E-3
2.688771880E-1,6.108648609E-3,3.023478435E-3,1.221727114E-3,6.924566905E-3
2.713222400E-1,7.941242307E-3,6.077799015E-3,6.108623929E-4,1.001878851E-2
2.737664060E-1,3.665189724E-3,7.299530320E-3,-6.108670495E-4,8.190843495E-3
2.762114590E-1,6.108648609E-3,8.521257900E-3,-6.108670495E-4,1.050240842E-2
2.786572400E-1,1.832595561E-3,7.299530320E-3,-6.108670495E-4,7.550808429E-3
2.811022400E-1,5.497783888E-3,1.096471678E-2,-6.108670495E-4,1.228103417E-2
2.835464590E-1,1.832595561E-3,9.132123552E-3,-2.443461679E-3,9.629360936E-3
2.859914590E-1,1.832595561E-3,1.035385113E-2,-4.276054911E-3,1.135100372E-2
2.884372400E-1,3.054325003E-3,7.910395972E-3,-5.497784354E-3,1.010588435E-2
2.908822400E-1,6.108661182E-4,5.466933362E-3,-6.719513796E-3,8.684030370E-3
2.933264590E-1,1.221730839E-3,6.077799015E-3,-6.719513796E-3,9.142435822E-3
2.957715110E-1,-4.886916373E-3,4.856071435E-3,-8.552108891E-3,1.098189182E-2
2.982172920E-1,6.108661182E-4,7.910395972E-3,-9.162972681E-3,1.212054414E-2
3.006622920E-1,-3.665186930E-3,7.299530320E-3,-1.160643157E-2,1.419246250E-2
3.031065110E-1,-6.108633243E-4,1.035385113E-2,-1.343902666E-2,1.697594842E-2
3.055515110E-1,-4.276051652E-3,9.742989205E-3,-1.466075610E-2,1.811486202E-2
3.079972920E-1,-3.665186930E-3,1.340817567E-2,-1.649335027E-2,2.156950099E-2
3.104423440E-1,-5.497781094E-3,1.462990697E-2,-1.893680915E-2,2.455325876E-2
3.128865110E-1,-8.552104235E-3,1.707336679E-2,-2.321286127E-2,3.005786534E-2
3.153315630E-1,-6.719510537E-3,2.073855326E-2,-2.504545450E-2,3.320412932E-2
3.177773440E-1,-1.160642877E-2,2.134941891E-2,-2.748891339E-2,3.668987920E-2
3.202223440E-1,-9.162969887E-3,2.623633668E-2,-2.993237227E-2,4.084424426E-2
3.226665630E-1,-1.282815821E-2,2.867979556E-2,-3.054323792E-2,4.381759578E-2
3.251115630E-1,-9.162969887E-3,3.478844091E-2,-3.176496923E-2,4.799175876E-2
3.275573440E-1,-1.282815821E-2,3.906449303E-2,-3.115410358E-2,5.158657217E-2
3.300023440E-1,-1.221729256E-2,4.578400776E-2,-2.871064469E-2,5.540522288E-2
3.324465630E-1,-1.282815821E-2,4.822747037E-2,-2.809977904E-2,5.727170439E-2
3.348915630E-1,-1.221729256E-2,5.372524634E-2,-2.748891339E-2,6.157357137E-2
3.373373960E-1,-8.552104235E-3,6.044476107E-2,-2.199113369E-2,6.488696008E-2
3.397823960E-1,-1.221729256E-2,6.166649610E-2,-1.832594350E-2,6.548174695E-2
3.422266150E-1,-6.719510537E-3,6.472081691E-2,-1.343902666E-2,6.644203038E-2
3.446716150E-1,-1.221729256E-2,6.227735430E-2,-1.099556778E-2,6.440988749E-2
3.471173960E-1,-8.552104235E-3,6.410994381E-2,-7.330379449E-3,6.509191843E-2
3.495624480E-1,-9.773833677E-3,6.044476107E-2,-1.832596492E-3,6.125728834E-2
3.520066150E-1,-7.941240445E-3,5.861216411E-2,-2.328306437E-9,5.914768872E-2
3.544516670E-1,-7.941240445E-3,5.372524634E-2,6.108623929E-4,5.431241614E-2
3.568974480E-1,-9.773833677E-3,5.006005988E-2,4.276050720E-3,5.118419707E-2
3.593424480E-1,-6.719510537E-3,4.761660472E-2,6.108644884E-3,4.847482242E-2
3.617866670E-1,-8.552104235E-3,4.150795564E-2,4.886915442E-3,4.266064710E-2
3.642316670E-1,-3.054322209E-3,3.906449303E-2,7.330374327E-3,3.986349066E-2
3.666774480E-1,-6.108645815E-3,3.295585141E-2,7.941238582E-3,3.444512978E-2
3.691225000E-1,-6.108633243E-4,3.356670961E-2,9.162968025E-3,3.480024613E-2
3.715667190E-1,-1.832592767E-3,2.745806798E-2,9.162968025E-3,2.900454924E-2
3.740117190E-1,1.396983862E-9,2.623633668E-2,7.941238582E-3,2.741183380E-2
3.764575000E-1,1.221730839E-3,2.318201214E-2,1.038469747E-2,2.543108835E-2
3.789025000E-1,1.221730839E-3,2.134941891E-2,9.773833677E-3,2.351208495E-2
3.813467190E-1,4.276054446E-3,2.073855326E-2,9.162968025E-3,2.307232576E-2
3.837917190E-1,1.396983862E-9,1.646250114E-2,7.941238582E-3,1.827777924E-2
3.862375000E-1,4.886919167E-3,1.585163549E-2,9.773833677E-3,1.925315951E-2
3.886825520E-1,2.443460282E-3,1.279731374E-2,7.941238582E-3,1.525794899E-2
3.911267190E-1,6.108648609E-3,1.157558244E-2,5.497780163E-3,1.419631231E-2
3.935717710E-1,2.443460282E-3,7.299530320E-3,3.665185999E-3,8.525680586E-3
3.960175520E-1,6.108648609E-3,4.856071435E-3,3.054321278E-3,8.380089265E-3
3.984625520E-1,6.719513331E-3,3.634340363E-3,1.221727114E-3,7.736466016E-3
4.009067710E-1,4.886919167E-3,5.800157669E-4,-1.221731771E-3,5.070604082E-3
4.033517710E-1,8.552107960E-3,-2.474304987E-3,-3.665191121E-3,9.627791111E-3
4.057976040E-1,5.497783888E-3,-6.139495410E-3,-5.497784354E-3,9.906798896E-3
