"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
8.384168000E-3,4.135350704E0,1.638449192E0,7.854393005E0,9.026468340E0
1.078713700E-2,4.135350704E0,1.638449192E0,7.854393005E0,9.026468340E0
1.321474100E-2,4.156897545E0,1.655207753E0,7.856786728E0,9.041493659E0
1.566703300E-2,4.156897545E0,1.655207753E0,7.856786728E0,9.041493659E0
1.811948100E-2,4.161685467E0,1.693513393E0,7.856786728E0,9.050785117E0
2.057208500E-2,4.161685467E0,1.693513393E0,7.856786728E0,9.050785117E0
2.302494900E-2,4.154503345E0,1.671966553E0,7.849604607E0,9.037237558E0
2.547807400E-2,4.154503345E0,1.671966553E0,7.849604607E0,9.037237558E0
2.793109500E-2,4.135350704E0,1.681542873E0,7.799328327E0,8.986558531E0
3.038396000E-2,4.137744427E0,1.693513393E0,7.789752007E0,8.981600797E0
3.283682400E-2,4.140138626E0,1.717454433E0,7.756234646E0,8.958212626E0
3.528968900E-2,4.094651222E0,1.688725114E0,7.751446247E0,8.927646950E0
3.774260600E-2,4.075498104E0,1.703089833E0,7.734687805E0,8.907053117E0
4.019557400E-2,4.056344986E0,1.700695634E0,7.758628845E0,8.918667044E0
4.264854300E-2,4.008463383E0,1.739001274E0,7.746658325E0,8.893965332E0
4.510156400E-2,3.982128382E0,1.739001274E0,7.741869926E0,8.877951444E0
4.755458500E-2,3.984522104E0,1.743789554E0,7.753840446E0,8.890402695E0
5.000760600E-2,3.960581064E0,1.777306914E0,7.787357807E0,8.915602271E0
5.246062600E-2,3.958187342E0,1.750971794E0,7.799328327E0,8.919791007E0
5.491364700E-2,3.972551584E0,1.770124555E0,7.794540405E0,8.925769836E0
5.736666800E-2,3.986916304E0,1.779700875E0,7.794540405E0,8.934075047E0
5.981968900E-2,3.998886824E0,1.767730594E0,7.777781487E0,8.922435325E0
6.227271000E-2,4.013251781E0,1.774912834E0,7.749052525E0,8.905297326E0
6.472573100E-2,4.039586544E0,1.762942314E0,7.729899406E0,8.898177897E0
6.717875100E-2,4.061133862E0,1.772518635E0,7.727505207E0,8.907803729E0
6.963177200E-2,4.075498104E0,1.774912834E0,7.749052525E0,8.933522004E0
7.208479300E-2,4.094651222E0,1.760548115E0,7.734687805E0,8.926986823E0
7.453781400E-2,4.077892303E0,1.727030754E0,7.737082005E0,8.914834761E0
7.699088700E-2,4.123380184E0,1.722242713E0,7.722717285E0,8.922373360E0
7.944396000E-2,4.109015465E0,1.724636674E0,7.684412003E0,8.883049452E0
8.189703300E-2,4.097044945E0,1.715060353E0,7.634135723E0,8.832170601E0
8.435010600E-2,4.085074425E0,1.691119313E0,7.581465244E0,8.776464712E0
8.680317800E-2,4.051557064E0,1.683937073E0,7.545553684E0,8.728467168E0
8.925625100E-2,4.039586544E0,1.657601953E0,7.497672081E0,8.676461855E0
9.170932400E-2,4.018039703E0,1.643237352E0,7.456972599E0,8.628517393E0
9.416239700E-2,3.979733706E0,1.638449192E0,7.449790001E0,8.603613612E0
9.661547000E-2,3.982128382E0,1.638449192E0,7.430637360E0,8.588144955E0
9.906854300E-2,3.953398943E0,1.619296432E0,7.404302597E0,8.548402253E0
1.015216160E-1,3.931852102E0,1.648025513E0,7.365996361E0,8.510778544E0
1.039746890E-1,3.874393702E0,1.640843272E0,7.356420517E0,8.474680880E0
1.064278140E-1,3.879182100E0,1.667178273E0,7.320508957E0,8.450880933E0
1.088809390E-1,3.869605303E0,1.664784312E0,7.277414799E0,8.408693011E0
1.113340640E-1,3.862423182E0,1.715060353E0,7.224744797E0,8.369986991E0
1.137871890E-1,3.857634783E0,1.715060353E0,7.184044838E0,8.332663342E0
1.162403660E-1,3.860028982E0,1.748577714E0,7.128981113E0,8.293353934E0
1.186935430E-1,3.891152620E0,1.770124555E0,7.114616394E0,8.300131089E0
1.211467200E-1,3.881575823E0,1.794065595E0,7.119404316E0,8.304891332E0
1.235998970E-1,3.910305262E0,1.820400715E0,7.140951157E0,8.342513376E0
1.260530740E-1,3.946216822E0,1.841947556E0,7.145739555E0,8.368213178E0
1.285062510E-1,3.972551584E0,1.875464916E0,7.143345356E0,8.386054950E0
1.309594280E-1,4.034798622E0,1.889829516E0,7.150527954E0,8.425028519E0
1.334099490E-1,4.080286026E0,1.906588197E0,7.138557434E0,8.440545886E0
1.358369280E-1,4.113803864E0,1.928135037E0,7.157710075E0,8.477847632E0
1.382421370E-1,4.164079666E0,1.920952797E0,7.138557434E0,8.484610855E0
1.406468760E-1,4.214355469E0,1.940105557E0,7.234321594E0,8.594196328E0
1.430524490E-1,4.276602745E0,1.964046597E0,6.733954430E0,8.215409444E0
1.454577620E-1,4.267025948E0,1.940105557E0,7.540765762E0,8.878888911E0
1.478628140E-1,4.319695950E0,1.954470277E0,6.937452793E0,8.402855373E0
1.502684910E-1,4.336454868E0,1.937711596E0,7.093069553E0,8.536463129E0
1.526742720E-1,4.353213787E0,1.942499757E0,7.248685837E0,8.675668386E0
