"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.047425710E-1,-6.902771443E-2,7.024635673E-1,-1.227838024E-1,7.164466141E-1
1.071876230E-1,-6.536252052E-2,6.945223212E-1,-1.252272725E-1,7.087421136E-1
1.096334570E-1,-6.291906536E-2,6.847484708E-1,-1.288924515E-1,6.996088486E-1
1.120785090E-1,-5.803214759E-2,6.731420755E-1,-1.295033246E-1,6.879382931E-1
1.145227790E-1,-5.558868498E-2,6.548161507E-1,-1.282815933E-1,6.695748354E-1
1.169677790E-1,-5.436695740E-2,6.334358454E-1,-1.252272725E-1,6.479804056E-1
1.194136650E-1,-5.375609174E-2,6.083903909E-1,-1.221729442E-1,6.228601877E-1
1.218586650E-1,-5.314522982E-2,5.833449364E-1,-1.178968921E-1,5.975076631E-1
1.243029360E-1,-5.253436416E-2,5.564668775E-1,-1.136208400E-1,5.703726329E-1
1.267479880E-1,-5.192349851E-2,5.259236693E-1,-1.081230566E-1,5.394277996E-1
1.291938210E-1,-5.253436416E-2,5.014891028E-1,-1.020144075E-1,5.144493357E-1
1.316388730E-1,-5.314522982E-2,4.764436483E-1,-9.590576589E-2,4.888976186E-1
1.340830920E-1,-5.192349851E-2,4.538416266E-1,-8.857538551E-2,4.653105100E-1
1.365281440E-1,-4.948003963E-2,4.349048138E-1,-8.307760209E-2,4.455248134E-1
1.389739770E-1,-4.642571509E-2,4.190223515E-1,-7.696895301E-2,4.285548947E-1
1.414190290E-1,-4.276052862E-2,4.031398594E-1,-7.330376655E-2,4.119753042E-1
1.438633000E-1,-4.092793167E-2,3.939768970E-1,-6.963858008E-2,4.021721308E-1
1.463083520E-1,-3.787361085E-2,3.854247928E-1,-6.719511747E-2,3.930672526E-1
1.487541860E-1,-3.787361085E-2,3.774835467E-1,-6.536252797E-2,3.849681786E-1
1.511992380E-1,-3.726274520E-2,3.701531589E-1,-6.352993101E-2,3.774094929E-1
1.536434570E-1,-3.543015197E-2,3.616010547E-1,-6.536252797E-2,3.691651100E-1
1.560885090E-1,-3.665187955E-2,3.542706668E-1,-6.597339362E-2,3.622203119E-1
1.585343420E-1,-3.665187955E-2,3.463294506E-1,-6.658425927E-2,3.545714487E-1
1.609793940E-1,-3.848447651E-2,3.347229958E-1,-6.963858008E-2,3.440495177E-1
1.634236650E-1,-3.848447651E-2,3.225057125E-1,-7.452549785E-2,3.332342110E-1
1.658687170E-1,-4.031706974E-2,3.090666831E-1,-7.819068432E-2,3.213432181E-1
1.683145500E-1,-3.970620409E-2,2.962385416E-1,-8.063414693E-2,3.095734514E-1
1.707596020E-1,-3.970620409E-2,2.821886539E-1,-8.491019905E-2,2.973495602E-1
1.732038210E-1,-4.031706974E-2,2.693604827E-1,-8.979711682E-2,2.867822483E-1
1.756488730E-1,-3.909533843E-2,2.577540576E-1,-9.346230328E-2,2.769490961E-1
1.780947070E-1,-3.848447651E-2,2.485910952E-1,-9.651662409E-2,2.694328233E-1
1.805397590E-1,-3.726274520E-2,2.351520658E-1,-1.001818180E-1,2.583048642E-1
1.829840290E-1,-3.604101390E-2,2.259891033E-1,-1.014035493E-1,2.503052323E-1
1.854290290E-1,-3.298669308E-2,2.174369842E-1,-1.032361388E-1,2.429499215E-1
1.878749150E-1,-3.176496178E-2,2.058305591E-1,-1.026252732E-1,2.321791949E-1
1.903199670E-1,-3.054323420E-2,1.978893131E-1,-1.026252732E-1,2.250000358E-1
1.927641860E-1,-2.932150289E-2,1.887263358E-1,-1.014035493E-1,2.162407458E-1
1.952092380E-1,-2.932150289E-2,1.801742315E-1,-1.007926837E-1,2.085225871E-1
1.976550710E-1,-2.871064097E-2,1.746764481E-1,-9.957095236E-2,2.031022821E-1
2.001001230E-1,-2.687804401E-2,1.673460752E-1,-9.712748975E-2,1.953481185E-1
2.025443420E-1,-2.626718208E-2,1.630700231E-1,-9.346230328E-2,1.897814517E-1
2.049893940E-1,-2.687804401E-2,1.600157022E-1,-9.162971377E-2,1.863423158E-1
2.074352270E-1,-2.565631643E-2,1.545179188E-1,-8.735365421E-2,1.793451831E-1
2.098802790E-1,-2.687804401E-2,1.520744562E-1,-8.368846774E-2,1.756497342E-1
2.123245500E-1,-2.321285754E-2,1.508527249E-1,-8.002328128E-2,1.723342883E-1
2.147696020E-1,-2.443458512E-2,1.453549415E-1,-7.513636351E-2,1.654405666E-1
2.172154360E-1,-2.015853301E-2,1.447440833E-1,-7.086031139E-2,1.624142846E-1
2.196604880E-1,-1.893680543E-2,1.398571581E-1,-6.841684878E-2,1.568422534E-1
2.221047070E-1,-1.710421033E-2,1.392462999E-1,-6.291906536E-2,1.537559587E-1
2.245497590E-1,-1.466075145E-2,1.337485164E-1,-5.864301696E-2,1.467739988E-1
2.269955920E-1,-1.527161710E-2,1.276398748E-1,-5.497782677E-2,1.398131659E-1
2.294406440E-1,-1.160642877E-2,1.221420988E-1,-5.131264031E-2,1.329901822E-1
2.318849150E-1,-1.588248275E-2,1.148117110E-1,-4.825831577E-2,1.255501784E-1
2.343299670E-1,-1.160642877E-2,1.099248007E-1,-4.398225993E-2,1.189647435E-1
2.367758000E-1,-1.466075145E-2,1.032052860E-1,-4.031707346E-2,1.117664310E-1
2.392208520E-1,-1.038469933E-2,1.013726965E-1,-3.726274893E-2,1.085024333E-1
2.416650710E-1,-1.038469933E-2,9.648577124E-2,-3.359756246E-2,1.026944119E-1
2.441101230E-1,-9.162969887E-3,9.465318173E-2,-2.993237227E-2,9.969519416E-2
2.465559570E-1,-6.108645815E-3,9.343145043E-2,-2.809977904E-2,9.775658067E-2
2.490010090E-1,-6.719510537E-3,9.526403993E-2,-2.626718581E-2,9.904723205E-2
2.514452790E-1,-1.221728045E-3,9.404232353E-2,-2.199113369E-2,9.658706536E-2
