"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
2.047370000E-2,3.527249098E0,-5.026721954E0,7.619771004E0,9.786231652E0
2.287666900E-2,3.527249098E0,-5.026721954E0,7.619771004E0,9.786231652E0
2.532469000E-2,3.579919338E0,-5.060238838E0,7.612588882E0,9.816992873E0
2.781776300E-2,3.579919338E0,-5.060238838E0,7.612588882E0,9.816992873E0
3.031099200E-2,3.599072218E0,-5.053056717E0,7.562313080E0,9.781374246E0
3.280463800E-2,3.639771938E0,-5.065027237E0,7.564706802E0,9.804449484E0
3.529849200E-2,3.668501139E0,-5.093756199E0,7.579071522E0,9.841065895E0
3.779229400E-2,3.702018499E0,-5.098544598E0,7.571888924E0,9.850563428E0
4.028599200E-2,3.759476900E0,-5.112909317E0,7.586253643E0,9.890740750E0
4.277974200E-2,3.773841381E0,-5.120091438E0,7.588647842E0,9.901756974E0
4.527354400E-2,3.804964781E0,-5.156002998E0,7.540765762E0,9.895719892E0
4.774672100E-2,3.843270540E0,-5.196702957E0,7.528795242E0,9.922661330E0
5.019547100E-2,3.874393702E0,-5.218249321E0,7.471336842E0,9.902622215E0
5.264088800E-2,3.907911062E0,-5.261343479E0,7.471336842E0,9.938529986E0
5.508630400E-2,3.898334742E0,-5.287678242E0,7.447395802E0,9.930773342E0
5.753088800E-2,3.919881582E0,-5.318801880E0,7.406696320E0,9.925435780E0
5.997552300E-2,3.931852102E0,-5.359501362E0,7.365996361E0,9.921774952E0
6.242094000E-2,3.951004744E0,-5.369077682E0,7.315720558E0,9.897333021E0
6.486630400E-2,3.962975264E0,-5.407383442E0,7.239109516E0,9.866593901E0
6.731094000E-2,4.003674984E0,-5.433718204E0,7.222351074E0,9.885194077E0
6.975552300E-2,3.994098425E0,-5.445688725E0,7.198410034E0,9.870433371E0
7.220094000E-2,3.996492624E0,-5.455265522E0,7.152921677E0,9.843584902E0
7.464635600E-2,3.970157862E0,-5.495965004E0,7.162498474E0,9.862513329E0
7.709094000E-2,3.943822622E0,-5.519906044E0,7.148133278E0,9.854892641E0
7.953557500E-2,3.886364222E0,-5.565393925E0,7.191227436E0,9.888942736E0
8.198099200E-2,3.831300020E0,-5.591728687E0,7.246292114E0,9.922451258E0
8.442635600E-2,3.800176382E0,-5.625246525E0,7.322902679E0,9.985471579E0
8.687099200E-2,3.754688740E0,-5.644399166E0,7.404302597E0,1.003895545E1
8.931557500E-2,3.728353739E0,-5.658763885E0,7.524006844E0,1.012585351E1
9.176099200E-2,3.735535860E0,-5.689887047E0,7.660470963E0,1.024752937E1
9.420635600E-2,3.723565340E0,-5.709039688E0,7.854393005E0,1.039949818E1
9.665099200E-2,3.733141661E0,-5.725798130E0,8.033949852E0,1.054824446E1
9.909557500E-2,3.771447420E0,-5.732980728E0,8.156049728E0,1.065889445E1
1.015409920E-1,3.812146902E0,-5.752133369E0,8.177596092E0,1.070012057E1
1.039864080E-1,3.792994261E0,-5.761709690E0,8.108167648E0,1.064549138E1
1.064310440E-1,3.828905582E0,-5.788044930E0,8.105772972E0,1.067077961E1
1.088756270E-1,3.881575823E0,-5.809591770E0,8.338001251E0,1.087843060E1
1.113210440E-1,3.972551584E0,-5.816774368E0,8.529528618E0,1.106204721E1
1.137664080E-1,4.075498104E0,-5.843109131E0,8.637263298E0,1.119615677E1
1.162110440E-1,4.132956505E0,-5.883808613E0,8.723450661E0,1.130482750E1
1.186556270E-1,4.168868065E0,-5.912538528E0,8.716267586E0,1.132743984E1
1.211010440E-1,4.197597027E0,-5.936479568E0,8.694722176E0,1.133401095E1
1.235464600E-1,4.164079666E0,-5.972390652E0,8.673174858E0,1.132399981E1
1.259910960E-1,4.065921783E0,-6.008302212E0,8.728239059E0,1.134960671E1
1.284356790E-1,3.994098425E0,-6.063366413E0,8.737814903E0,1.136075014E1
1.308810960E-1,3.879182100E0,-6.099277973E0,8.773726463E0,1.136782836E1
1.333264600E-1,3.797782421E0,-6.144765854E0,8.733026505E0,1.133344831E1
1.357710960E-1,3.761870861E0,-6.175889015E0,8.692326546E0,1.130706939E1
1.382156790E-1,3.745112181E0,-6.159130573E0,8.582199097E0,1.120780514E1
1.406610960E-1,3.771447420E0,-6.178283215E0,8.481646538E0,1.115048551E1
1.431065130E-1,3.831300020E0,-6.192647934E0,8.352364540E0,1.108105328E1
1.455511480E-1,3.876787901E0,-6.192647934E0,8.256601334E0,1.102496433E1
1.479957310E-1,3.948610544E0,-6.211800098E0,8.182384491E0,1.100588032E1
1.504411480E-1,4.025222301E0,-6.197435856E0,8.100984573E0,1.096524404E1
1.528865130E-1,4.109015465E0,-6.199830055E0,8.007615089E0,1.092903473E1
1.553311480E-1,4.166473866E0,-6.187859535E0,7.954944611E0,1.090551484E1
1.577757310E-1,4.231114864E0,-6.180677414E0,7.954944611E0,1.092630999E1
1.602211480E-1,4.293361187E0,-6.161524296E0,7.971703529E0,1.095195823E1
1.626665650E-1,4.360395432E0,-6.147160053E0,8.017190933E0,1.100345289E1
1.651112000E-1,4.432218552E0,-6.139977455E0,8.086620331E0,1.107868732E1
1.675557830E-1,4.527982712E0,-6.123219013E0,8.019585609E0,1.105939383E1
1.700012000E-1,4.626140594E0,-6.120824814E0,8.589381218E0,1.151708049E1
1.724465650E-1,4.736268997E0,-6.096883774E0,7.923821449E0,1.106305483E1
1.748912000E-1,4.788939476E0,-6.104065895E0,8.737814903E0,1.168516029E1
1.773357830E-1,4.937373638E0,-6.068154812E0,8.254207611E0,1.137242738E1
1.797812000E-1,5.006802559E0,-6.099277973E0,8.711480141E0,1.175411204E1
1.822266170E-1,5.138478279E0,-6.070549011E0,8.718662262E0,1.180129637E1
1.846712000E-1,5.217483044E0,-6.111248493E0,8.654022217E0,1.180938559E1
1.871158350E-1,5.301276684E0,-6.123219013E0,9.058625221E0,1.215138002E1
1.895612520E-1,5.418587685E0,-6.139977455E0,8.553469658E0,1.184154799E1
1.920066170E-1,5.478440285E0,-6.199830055E0,9.223816872E0,1.239072227E1
1.944512520E-1,5.583780289E0,-6.197435856E0,8.493617058E0,1.190497141E1
1.968958350E-1,5.619691849E0,-6.252500534E0,9.140024185E0,1.241832281E1
1.993412520E-1,5.691514492E0,-6.247711658E0,8.596563339E0,1.205521213E1
2.017866690E-1,5.677150249E0,-6.295593739E0,8.977225304E0,1.234727134E1
2.042312520E-1,5.701091290E0,-6.314746857E0,8.926948547E0,1.233162115E1
2.066758880E-1,5.696303368E0,-6.326717377E0,8.859913826E0,1.228711918E1
2.091213040E-1,5.684332848E0,-6.365022659E0,9.238182068E0,1.257653216E1
2.115666690E-1,5.674756050E0,-6.326717377E0,8.723450661E0,1.217903118E1
2.140113040E-1,5.617297649E0,-6.338687897E0,9.391404152E0,1.264640143E1
2.164558880E-1,5.653209209E0,-6.302776337E0,8.668385506E0,1.211712306E1
2.189013040E-1,5.581386089E0,-6.309958458E0,9.300427437E0,1.254852170E1
2.213466690E-1,5.612509727E0,-6.214194775E0,8.756967545E0,1.211614471E1
2.237913040E-1,5.571809769E0,-6.230953217E0,9.058625221E0,1.232592929E1
2.262358880E-1,5.547868729E0,-6.163918495E0,8.864703178E0,1.213901566E1
2.286813040E-1,5.509562969E0,-6.149553776E0,8.725845337E0,1.201302096E1
2.311267210E-1,5.483228207E0,-6.111248493E0,9.017925262E0,1.219574212E1
2.335713560E-1,5.471257687E0,-6.063366413E0,8.400246620E0,1.171593855E1
2.360159400E-1,5.394646645E0,-5.998725891E0,8.977225304E0,1.206969340E1
2.384613560E-1,5.404222965E0,-5.917326450E0,8.218296051E0,1.147870934E1
2.409067210E-1,5.325217724E0,-5.879020691E0,8.871885300E0,1.190088975E1
2.433513560E-1,5.306064606E0,-5.792833328E0,8.354759216E0,1.146792227E1
2.457959400E-1,5.262970924E0,-5.740162849E0,8.833579063E0,1.177626645E1
2.482413560E-1,5.270153522E0,-5.625246525E0,8.814425468E0,1.170948389E1
2.506867730E-1,5.272547722E0,-5.558211327E0,8.876672745E0,1.172556146E1
2.531314080E-1,5.315640926E0,-5.483994484E0,9.295639992E0,1.203075878E1
2.555759920E-1,5.341976166E0,-5.373865604E0,8.917372704E0,1.170190911E1
2.580214080E-1,5.413799286E0,-5.290072441E0,9.659543037E0,1.227195424E1
2.604667730E-1,5.507169247E0,-5.167973518E0,9.084959984E0,1.181411703E1
2.629114080E-1,5.588568687E0,-5.124879837E0,9.834312439E0,1.241813973E1
2.653559920E-1,5.732214451E0,-5.000386238E0,9.381828308E0,1.207811440E1
2.678014080E-1,5.851919651E0,-4.938139915E0,9.870223999E0,1.249205793E1
2.702468250E-1,5.976412773E0,-4.839982033E0,9.738549232E0,1.240895954E1
2.726914600E-1,6.086541176E0,-4.780129433E0,9.717001915E0,1.242238894E1
2.751360440E-1,6.196669579E0,-4.708306313E0,1.003541660E1,1.269946647E1
2.775814600E-1,6.254127979E0,-4.626907349E0,9.520686150E0,1.229495234E1
2.800268250E-1,6.325951099E0,-4.595783710E0,1.014075661E1,1.280522666E1
2.824714600E-1,6.388197422E0,-4.514384270E0,9.396191597E0,1.222608474E1
2.849160440E-1,6.364256859E0,-4.488049507E0,1.007851124E1,1.273666921E1
2.873614600E-1,6.359467983E0,-4.425802708E0,9.458438873E0,1.222671782E1
2.898068770E-1,6.282856941E0,-4.394679546E0,9.886982918E0,1.251159186E1
2.922514600E-1,6.232581139E0,-4.325250626E0,9.640391350E0,1.226743681E1
2.946960960E-1,6.127240658E0,-4.306097984E0,9.582931519E0,1.216215994E1
