"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
1.036375060E-1,5.497783888E-3,5.466933362E-3,4.581485316E-2,4.646626473E-2
1.060833400E-1,8.552107960E-3,5.800157669E-4,4.642571509E-2,4.721040129E-2
1.085283920E-1,9.162971750E-3,-3.696036292E-3,4.520398751E-2,4.627117053E-2
1.109726630E-1,8.552107960E-3,-7.972088642E-3,4.398225993E-2,4.550969058E-2
1.134177150E-1,9.773837402E-3,-1.408073585E-2,4.337139428E-2,4.663553218E-2
1.158635480E-1,1.221729629E-2,-2.018938214E-2,4.459312186E-2,5.045215552E-2
1.183086000E-1,1.282816008E-2,-2.629802935E-2,4.214966297E-2,5.131025363E-2
1.207528190E-1,1.466075517E-2,-3.179581091E-2,4.214966297E-2,5.479512225E-2
1.231978710E-1,1.404989138E-2,-3.790445998E-2,4.092793539E-2,5.752602394E-2
1.256437560E-1,1.404989138E-2,-4.340223968E-2,4.092793539E-2,6.128825134E-2
1.280888080E-1,1.649335027E-2,-5.012175441E-2,3.970620409E-2,6.603638021E-2
1.305330270E-1,1.771507785E-2,-5.561953783E-2,3.787361085E-2,6.958280945E-2
1.329780790E-1,1.893680915E-2,-5.989558995E-2,3.848447651E-2,7.366912086E-2
1.354239650E-1,1.893680915E-2,-6.417164207E-2,3.604101762E-2,7.599708769E-2
1.378690170E-1,1.954767480E-2,-6.783682853E-2,3.604101762E-2,7.926475791E-2
1.403132360E-1,2.260199562E-2,-7.028029114E-2,3.481928632E-2,8.162445852E-2
1.427582880E-1,1.893680915E-2,-7.211288065E-2,3.481928632E-2,8.228762359E-2
1.452041730E-1,2.565632015E-2,-7.211288065E-2,3.543015197E-2,8.434340512E-2
1.476491730E-1,2.199113369E-2,-7.516720146E-2,3.543015197E-2,8.595937299E-2
1.500934440E-1,2.687805146E-2,-7.455634326E-2,3.359755874E-2,8.608062455E-2
1.525384960E-1,2.504545450E-2,-7.761066407E-2,3.359755874E-2,8.820139410E-2
1.549843290E-1,2.687805146E-2,-7.699980587E-2,3.298669308E-2,8.797455129E-2
1.574293810E-1,2.871064469E-2,-7.822152972E-2,3.420842439E-2,9.007288787E-2
1.598736520E-1,2.626718581E-2,-7.761066407E-2,3.420842439E-2,8.878961948E-2
1.623187040E-1,2.871064469E-2,-7.638893276E-2,3.543015197E-2,8.896553173E-2
1.647645380E-1,2.443459257E-2,-7.822152972E-2,3.543015197E-2,8.928019206E-2
1.672095900E-1,2.932151034E-2,-7.638893276E-2,3.604101762E-2,8.940903181E-2
1.696538610E-1,2.443459257E-2,-7.822152972E-2,3.665187955E-2,8.977202961E-2
1.720989130E-1,2.809977904E-2,-7.516720146E-2,3.604101762E-2,8.796965789E-2
1.745447460E-1,2.565632015E-2,-7.638893276E-2,3.726274520E-2,8.878078617E-2
1.769897980E-1,2.626718581E-2,-7.577807456E-2,3.665187955E-2,8.817960030E-2
1.794340690E-1,2.687805146E-2,-7.638893276E-2,3.787361085E-2,8.939859674E-2
1.818791210E-1,2.504545450E-2,-7.577807456E-2,3.787361085E-2,8.834026135E-2
1.843249540E-1,2.932151034E-2,-7.577807456E-2,3.970620409E-2,9.043588998E-2
1.867700060E-1,2.565632015E-2,-7.761066407E-2,4.092793539E-2,9.141530417E-2
1.892142770E-1,2.993237227E-2,-7.333461195E-2,4.153879732E-2,8.943927495E-2
1.916593290E-1,2.504545450E-2,-7.394547760E-2,4.092793539E-2,8.814932980E-2
1.941051630E-1,2.687805146E-2,-7.394547760E-2,4.214966297E-2,8.925781421E-2
1.965502150E-1,2.382372692E-2,-7.516720146E-2,4.153879732E-2,8.912435033E-2
1.989944860E-1,2.443459257E-2,-7.394547760E-2,4.092793539E-2,8.797771802E-2
2.014395380E-1,2.443459257E-2,-7.455634326E-2,4.153879732E-2,8.877595010E-2
2.038853710E-1,2.138026804E-2,-7.516720146E-2,4.031706974E-2,8.793571600E-2
2.063304230E-1,2.504545450E-2,-7.577807456E-2,3.909534216E-2,8.887090162E-2
2.087746940E-1,2.015853673E-2,-7.822152972E-2,3.726274520E-2,8.895777928E-2
2.112197460E-1,2.260199562E-2,-7.699980587E-2,3.543015197E-2,8.772181016E-2
2.136655790E-1,1.893680915E-2,-8.127585799E-2,3.420842439E-2,9.019192941E-2
2.161106310E-1,1.954767480E-2,-8.249758929E-2,3.176496178E-2,9.053715605E-2
2.185549020E-1,1.832594350E-2,-8.494103700E-2,2.871064097E-2,9.151568650E-2
2.209999020E-1,1.710421406E-2,-8.433017880E-2,2.565631643E-2,8.979075547E-2
2.234457880E-1,1.832594350E-2,-8.555191010E-2,2.443458512E-2,9.084062130E-2
2.258908400E-1,1.588248461E-2,-8.494103700E-2,2.138026431E-2,8.901881142E-2
2.283350580E-1,1.710421406E-2,-8.371931314E-2,1.893680543E-2,8.752188373E-2
2.307801110E-1,1.221729629E-2,-8.188671619E-2,1.832593977E-2,8.479703229E-2
2.332259960E-1,1.588248461E-2,-7.822152972E-2,1.771507412E-2,8.175992222E-2
2.356710480E-1,9.162971750E-3,-8.005412668E-2,1.404988673E-2,8.179255814E-2
2.381152670E-1,1.160643063E-2,-7.394547760E-2,1.343902200E-2,7.604768374E-2
2.405603190E-1,7.941242307E-3,-7.150202245E-2,1.282815635E-2,7.307642670E-2
2.430061520E-1,7.941242307E-3,-6.600423902E-2,1.038469747E-2,6.728643875E-2
2.454512560E-1,7.941242307E-3,-6.294991076E-2,9.773833677E-3,6.419721504E-2
