"Time (s)","Gyroscope x (rad/s)","Gyroscope y (rad/s)","Gyroscope z (rad/s)","Absolute (rad/s)"
8.639558900E-2,-4.906007089E-3,1.597029343E-2,6.501890253E-3,1.792745812E-2
8.884064100E-2,-1.851683715E-3,1.108337566E-2,6.501890253E-3,1.298246993E-2
9.128642200E-2,1.202639891E-3,6.196458358E-3,7.112754975E-3,9.509664674E-3
9.373147400E-2,3.646098776E-3,4.974730778E-3,5.891025532E-3,8.529136206E-3
9.617569300E-2,6.700422615E-3,-1.133918297E-3,5.280160811E-3,8.605901005E-3
9.862069300E-2,6.700422615E-3,-2.966511529E-3,6.501890253E-3,9.796449905E-3
1.010665260E-1,9.143881500E-3,-5.409970414E-3,6.501890253E-3,1.245603972E-2
1.035115780E-1,1.158734038E-2,-8.464295417E-3,6.501890253E-3,1.575389891E-2
1.059557970E-1,1.341993455E-2,-1.029688865E-2,7.723619696E-3,1.859502246E-2
1.084007970E-1,1.525252778E-2,-1.090775430E-2,8.334483951E-3,2.052029070E-2
1.108466300E-1,1.647425815E-2,-1.151861809E-2,6.501890253E-3,2.112709922E-2
1.132916300E-1,1.647425815E-2,-1.579467207E-2,7.723619696E-3,2.409413100E-2
1.157358490E-1,1.769598573E-2,-1.884899475E-2,8.334483951E-3,2.716424372E-2
1.181809010E-1,1.708512194E-2,-2.129245363E-2,8.945349604E-3,2.872784804E-2
1.206266820E-1,1.891771704E-2,-2.617937140E-2,8.945349604E-3,3.351505310E-2
1.230717340E-1,1.830685139E-2,-2.740110084E-2,8.945349604E-3,3.414645538E-2
1.255159530E-1,1.891771704E-2,-2.984455973E-2,8.945349604E-3,3.644992514E-2
1.279609530E-1,1.769598573E-2,-3.106628917E-2,8.945349604E-3,3.685487096E-2
1.304067870E-1,1.952858269E-2,-3.289888427E-2,8.334483951E-3,3.915566052E-2
1.328517870E-1,1.952858269E-2,-3.473147750E-2,1.138880849E-2,4.144087391E-2
1.352960570E-1,1.708512194E-2,-3.412061185E-2,1.077794284E-2,3.965200621E-2
1.377410570E-1,1.708512194E-2,-3.595320880E-2,1.138880849E-2,4.140337636E-2
1.401868910E-1,1.769598573E-2,-3.656407073E-2,1.199967228E-2,4.235647901E-2
1.426318910E-1,1.769598573E-2,-3.717493638E-2,1.138880849E-2,4.271801453E-2
1.450761090E-1,1.647425815E-2,-3.534234315E-2,1.261053793E-2,4.098180167E-2
1.475211620E-1,1.525252778E-2,-3.473147750E-2,1.322140172E-2,4.017114134E-2
1.499669430E-1,1.341993455E-2,-3.045542538E-2,1.383226737E-2,3.604107655E-2
1.524119950E-1,1.341993455E-2,-2.617937140E-2,1.505399682E-2,3.304658758E-2
