"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.090762000E-2,1.473112702E0,-2.989343882E0,9.348309517E0,9.924571966E0
1.331058900E-2,1.473112702E0,-2.989343882E0,9.348309517E0,9.924571966E0
1.573861000E-2,1.391713262E0,-3.070743322E0,9.391404152E0,9.978216389E0
1.819168200E-2,1.391713262E0,-3.070743322E0,9.391404152E0,9.978216389E0
2.064491200E-2,1.362984180E0,-3.135383844E0,9.439286232E0,1.003934671E1
2.309845300E-2,1.310313940E0,-3.166507006E0,9.475197792E0,1.007586534E1
2.555209900E-2,1.283978939E0,-3.221571207E0,9.508714676E0,1.012140197E1
2.800569300E-2,1.252855539E0,-3.240724325E0,9.542231560E0,1.015510336E1
3.045933900E-2,1.245673299E0,-3.252694845E0,9.609267235E0,1.022104410E1
3.291298500E-2,1.243279219E0,-3.286211967E0,9.697849274E0,1.031470857E1
3.536668200E-2,1.216944218E0,-3.264665127E0,9.774459839E0,1.037685197E1
3.782043200E-2,1.183426738E0,-3.257482767E0,9.819948196E0,1.041360050E1
4.027413000E-2,1.166668057E0,-3.200024605E0,9.853465080E0,1.042554775E1
4.272782800E-2,1.193003178E0,-3.135383844E0,9.942047119E0,1.049276843E1
4.518157800E-2,1.219338179E0,-3.075531244E0,1.002344608E1,1.055533748E1
4.763527600E-2,1.224126458E0,-3.020467043E0,1.007851124E1,1.059236024E1
5.008897400E-2,1.216944218E0,-2.960614681E0,1.014793873E1,1.064081073E1
5.254267200E-2,1.200185418E0,-2.891185760E0,1.028679657E1,1.075256173E1
5.499637000E-2,1.202579498E0,-2.850486040E0,1.040171432E1,1.085205644E1
5.745006800E-2,1.202579498E0,-2.759510279E0,1.050465965E1,1.092744109E1
5.990376600E-2,1.159485817E0,-2.706840038E0,1.055493546E1,1.095801318E1
6.235746400E-2,1.185820818E0,-2.646987915E0,1.062436485E1,1.101316687E1
6.481116200E-2,1.190608978E0,-2.594317675E0,1.074167633E1,1.111447904E1
6.726486000E-2,1.166668057E0,-2.536859035E0,1.081349850E1,1.116819224E1
6.971855700E-2,1.183426738E0,-2.465036392E0,1.082068062E1,1.116082579E1
7.217225500E-2,1.209761739E0,-2.443489313E0,1.078477001E1,1.112409222E1
7.462595300E-2,1.226520538E0,-2.412366152E0,1.074167633E1,1.107734054E1
7.707965100E-2,1.233702779E0,-2.405183792E0,1.068421745E1,1.102086359E1
7.953334900E-2,1.279190660E0,-2.390819073E0,1.060999966E1,1.095100166E1
8.198704700E-2,1.274402499E0,-2.388425112E0,1.052860069E1,1.087106751E1
8.444069300E-2,1.315102220E0,-2.383636713E0,1.045438385E1,1.080302548E1
8.689433900E-2,1.336649060E0,-2.381242752E0,1.038016701E1,1.073335059E1
