"Time (s)","Acceleration x (m/s^2)","Acceleration y (m/s^2)","Acceleration z (m/s^2)","Absolute acceleration (m/s^2)"
1.708010400E-2,7.247679234E0,-1.478667498E0,6.441874504E0,9.808825565E0
1.950770800E-2,7.209372997E0,-1.497820258E0,6.393992424E0,9.752008186E0
2.196010400E-2,7.149521351E0,-1.488243818E0,6.365263462E0,9.687471505E0
2.441286500E-2,7.087274075E0,-1.509790659E0,6.317381382E0,9.613440028E0
2.686562500E-2,7.048968792E0,-1.531337619E0,6.259922981E0,9.550894810E0
2.931838500E-2,6.974751472E0,-1.514578938E0,6.219223499E0,9.466776030E0
3.177125000E-2,6.912505150E0,-1.536125779E0,6.159370899E0,9.385108403E0
3.422411500E-2,6.838288307E0,-1.548096299E0,6.149794579E0,9.326240533E0
3.667703100E-2,6.795194149E0,-1.562460780E0,6.123459339E0,9.279692963E0
3.913005200E-2,6.735341549E0,-1.548096299E0,6.104306221E0,9.220844992E0
4.158302100E-2,6.694642067E0,-1.531337619E0,6.054030418E0,9.155026576E0
4.403599000E-2,6.658730507E0,-1.531337619E0,5.963054657E0,9.068721393E0
4.648895800E-2,6.646759987E0,-1.533731699E0,5.948689938E0,9.050892952E0
4.894192700E-2,6.632395744E0,-1.505002499E0,5.893625736E0,8.999362763E0
5.139489600E-2,6.591696262E0,-1.524155378E0,5.852926254E0,8.945963054E0
5.384786500E-2,6.598878384E0,-1.505002499E0,5.800255775E0,8.913652198E0
5.630083300E-2,6.570148945E0,-1.471485138E0,5.742797375E0,8.849398135E0
5.875385400E-2,6.555784702E0,-1.454726458E0,5.675762653E0,8.792543649E0
6.120687500E-2,6.598878384E0,-1.461908698E0,5.673368931E0,8.824368985E0
6.365994800E-2,6.591696262E0,-1.454726458E0,5.656610012E0,8.807038407E0
6.611302100E-2,6.589301586E0,-1.423603058E0,5.690127373E0,8.821739657E0
6.856609400E-2,6.603666782E0,-1.440361857E0,5.685339451E0,8.832108577E0
7.101916700E-2,6.610848427E0,-1.416420817E0,5.761950493E0,8.883109722E0
7.347224000E-2,6.613242626E0,-1.409238577E0,5.831379414E0,8.928937074E0
7.592531200E-2,6.641972065E0,-1.416420817E0,5.917566776E0,9.007754293E0
7.837843700E-2,6.610848427E0,-1.402056217E0,5.998966217E0,9.036408259E0
8.083156200E-2,6.632395744E0,-1.414026737E0,6.152188301E0,9.156285591E0
8.328468700E-2,6.615637302E0,-1.423603058E0,6.274287224E0,9.228216661E0
8.573781200E-2,6.615637302E0,-1.442755938E0,6.396386147E0,9.314609887E0
8.819093700E-2,6.596484184E0,-1.476273298E0,6.530456066E0,9.398927751E0
9.064406200E-2,6.594089985E0,-1.466696978E0,6.592702866E0,9.439118276E0
